stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,2108.47,37385.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,2752.21,35723.51,0,55.17,0,0,0,0,0,0,0,0,0,140.98,0,0,0,0,0,0,0,0,0,0,0,1176.89,110.33,0,0,306.48,0,943.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,688.72,778.1,0,1114.57,0,7.89,0,2510.42,0,0,0,0,0,946.34,0,0,0,0,0,0,0,0,0,0,0,21305.72,864.85,0,0,7507.6,0,115.66,99.89,0,7.89,0,0,0,0,0,0,0,0
 10-12,9.44,717.51,0,1107.73,0,129.03,0,2064.41,0,0,0,0,0,462.6,0,0,0,0,0,6.29,0,0,0,0,3.15,19429.39,748.98,0,0,7272.65,0,56.65,75.53,40.91,849.68,0,75.53,31.47,0,0,0,0,0
 14-21,2,6,8,134,2570,677,0,1256,0,19,0,166,75,53,14,17,89,3,8,3,36,783,16,0,682,9860,385,51,216,384,0,314,21,1840,163,80,2707,3440,0,0,53,0,34
 24-34,0,0,9.03,69.77,855.33,147.75,0,1843.64,2.46,56.64,14.78,223.27,31.19,4.1,20.52,51.71,73.06,21.34,57.46,26.27,71.41,1228,34.48,3.28,534.38,10231.15,78.8,145.29,155.96,0.82,0.82,584.45,1.64,10.67,58.28,22.98,458.86,2596.37,0,0,215.06,0,81.26
 36-46,0.81,0,6.45,10.47,393.17,37.06,0,3210.59,9.67,42.7,55.59,450.37,27.39,0.81,26.59,70.09,22.56,29,53.98,37.06,32.23,1438.12,20.95,30.62,427.81,11912.63,70.09,133.74,117.63,0.81,0.81,487.43,4.83,4.03,33.03,15.31,14.5,2802.12,0,1.61,150.66,0,46.73
 48-58,1.15,0,4.59,9.75,428.06,20.08,0,4068.28,20.08,67.14,62.54,762.01,51.07,4.59,32.71,64.27,25.82,45.9,52.79,33.28,18.36,1772.48,19.51,70,407.98,9200.96,30.99,79.76,91.81,0,3.44,365.51,0.57,1.72,21.23,16.64,1.15,1983.64,0,6.31,162.96,2.3,44.76
 60-70,2.94,0,12.76,0,393.59,37.3,2.94,4722.1,32.39,63.8,57.91,714.55,103.06,1.96,24.54,69.69,37.3,60.85,56.93,44.17,12.76,1807.96,15.7,86.37,265.01,8260.49,28.46,69.69,76.56,0,13.74,335.68,0,1.96,20.61,8.83,0,1054.15,11.78,33.37,138.39,17.67,26.5
 72-82,0,0,31.41,1.96,484.94,94.24,24.54,2843.87,20.61,34.36,69.7,624.34,235.6,1.96,30.43,139.4,68.72,37.3,53.01,42.21,11.78,1615.82,23.56,64.79,284.68,4881.8,18.65,95.22,107.98,0,11.78,376.96,0.98,0,40.25,6.87,0,349.47,43.19,53.99,218.91,44.17,30.43
 84-94,1.06,0,16.99,6.37,657.4,94.52,65.85,2157,31.86,95.58,48.85,413.13,364.28,1.06,19.12,123.2,91.34,46.73,69.03,99.83,11.68,1073.72,25.49,66.91,209.22,2624.29,32.92,92.4,113.64,1.06,10.62,870.87,0,0,70.09,8.5,0,278.25,130.63,41.42,181.61,36.11,19.12
 96-106,1.09,0,18.58,10.93,751.88,135.51,33.88,1465.51,17.49,107.1,34.97,393.42,383.59,0,25.14,205.46,116.93,39.34,92.89,87.43,10.93,844.77,36.06,38.25,184.69,1975.87,19.67,134.42,111.47,0,7.65,873.18,3.28,0,64.48,2.19,0,77.59,157.37,39.34,189.06,43.71,24.04
108-118,0,0,6.89,16.09,656.43,104.17,58.21,994.99,16.09,133.28,29.87,297.19,243.58,0,11.49,141.7,94.21,42.89,60.51,72.77,12.26,608.94,27.57,26.81,157.02,2226.65,22.21,98.04,87.32,0,9.96,723.07,1.53,0,43.66,10.72,0,52.09,165.45,15.32,127.15,24.51,21.45
120,3.92,0,1.96,0,511.5,117.59,13.72,895.62,9.8,97.99,21.56,301.81,146.98,0,17.64,156.78,33.32,31.36,33.32,33.32,3.92,491.91,21.56,15.68,180.3,2108.73,31.36,56.83,64.67,0,11.76,433.11,0,0,29.4,11.76,0,50.95,41.16,13.72,123.47,29.4,9.8
