stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,3,0,1,121,0,0,0,0,0
 24-34,0,0,2.46,0.82,0.82,0,0.82,0,0,0,18.06,4.93,0,0,0,0,0,4.1,0,0.82,0,0,0.82,9.85,0,0,0,0,0,0,0,5.75,0,49.25,0,0,0.82,0,0
 36-46,0,0,1.61,0,0.81,0,0,0,0,0,7.25,23.36,3.22,0,0,0.81,0,5.64,3.22,0,0,0,0,5.64,0.81,0,0,0,0,0,0,5.64,0,8.86,0,0,0,0,0
 48-58,0,0,1.72,0,0,0,2.87,0,0,0,4.59,55.66,1.15,0,0,13.2,0,8.03,0.57,2.87,0,0,0.57,14.35,0,0,0,0,0,0.57,0,6.31,0,6.31,0,0,0,0,0
 60-70,0,2.94,0,0.98,0,0,10.8,0,0,0,2.94,118.76,0.98,0,0,39.26,0,17.67,0.98,3.93,0,3.93,0.98,17.67,0,0,0,0,0,0,0,4.91,0,4.91,0,0.98,0,9.82,0
 72-82,0,29.45,2.94,6.87,1.96,0.98,37.3,0.98,0.98,1.96,15.71,293.52,1.96,0,0,40.25,0.98,10.8,0,37.3,0,4.91,0.98,116.82,0.98,1.96,1.96,0,0.98,8.83,0,0,0,11.78,0,2.94,4.91,58.9,0.98
 84-94,0,38.23,10.62,5.31,5.31,1.06,27.61,1.06,1.06,0,6.37,554.38,2.12,2.12,0,72.22,1.06,27.61,1.06,19.12,0,8.5,2.12,55.23,0,0,0,0,0,7.43,0,15.93,0,4.25,0,3.19,3.19,67.97,0
 96-106,0,49.18,17.49,12.02,13.11,2.19,52.46,1.09,2.19,3.28,20.76,715.81,3.28,4.37,1.09,83.06,2.19,45.9,0,48.09,0,4.37,7.65,182.51,1.09,2.19,3.28,0,1.09,16.39,0,6.56,1.09,6.56,1.09,12.02,4.37,92.89,5.46
108-118,0,30.64,20.68,11.49,5.36,3.83,26.81,2.3,1.53,1.53,22.21,738.39,0.77,5.36,0,93.45,0.77,47.49,0,29.11,1.53,6.89,3.83,143.24,2.3,1.53,0,0,0.77,14.55,0,6.13,0.77,3.06,3.06,10.72,6.89,52.09,3.83
120,0,37.24,7.84,9.8,3.92,1.96,11.76,0,0,0,3.92,523.26,0,0,0,58.79,0,41.16,1.96,29.4,0,1.96,1.96,113.67,3.92,3.92,0,0,1.96,1.96,0,5.88,0,3.92,0,7.84,0,72.51,1.96
