stage,endoderm,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,pronephros,spinal_cord,taste
 14-21,0,0,1,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,3.28,1.64,0
 36-46,0,0,0.81,0,0,0,1.61,0,1.61,1.61,0
 48-58,0,0.57,2.3,0.57,0,0.57,0.57,0,0.57,1.15,0
 60-70,0,0.98,0.98,0.98,0,0.98,0.98,0,0.98,2.94,0
 72-82,0,1.96,3.93,0.98,0,1.96,5.89,1.96,0,0.98,0
 84-94,0,0,0,4.25,0,0,2.12,3.19,3.19,1.06,0
 96-106,1.09,0,1.09,15.3,0,0,1.09,6.56,0,1.09,1.09
108-118,0,0,0.77,4.6,0.77,0.77,3.06,3.83,1.53,2.3,0
120,0,1.96,0,7.84,0,3.92,1.96,5.88,1.96,0,0
