stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,21.03,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,32.01,0,1.64,13.13,0,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,3.22,0.81,0,62.04,2.42,0.81,6.45,0,0,0,1.61,0,0,1.61,0
 48-58,0,0,0,0,0,0.57,0.57,0,60.82,0,0,4.02,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,4.91,0,0,61.84,0,0.98,1.96,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,77.55,2.94,0,2.94,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,0,95.58,2.12,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,2.19,120.21,1.09,0,1.09,0,0,0,3.28,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0.77,0,85.02,0.77,0,5.36,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,119.55,0,0,3.92,0,0,0,0,0,0,0,0
