stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,14,0,0,0,0,0,0,0,1,1,0,6,0,0
 24-34,0,0,0,0,0,0,3.28,0,0.82,0.82,0,0,0,0,1.64,0,0,24.63,0,1.64,0,0,0,0.82,0,0,0,0,12.31,0,0
 36-46,0,0.81,0,0,0,0,4.03,0,0.81,0,0.81,0,0,0,3.22,0,0.81,60.43,0,3.22,0,0,0,0.81,0,0,0,0,12.89,0.81,0
 48-58,0,0,0,0,0,0,6.31,0,0.57,0,0,0,0.57,0,1.72,0,0,56.23,0,1.72,0,0,0,0,0,0,0,0,7.46,0,0
 60-70,0,0,0,0,0.98,0,14.72,0,2.94,0,0,0,0,0,2.94,0.98,0,82.45,0,2.94,0,0,0,0,0,0,0,0,18.65,0,0
 72-82,0,0,0,0.98,1.96,0,24.54,0.98,4.91,0.98,0,0,0,0,5.89,0,0,89.33,0,4.91,0,0,0.98,0.98,0,0,0,0,6.87,0,0
 84-94,0,0,0,0,3.19,0,12.74,0,2.12,0,0,0,0,1.06,4.25,0,0,54.16,0,3.19,1.06,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,2.19,0,16.39,0,2.19,0,0,1.09,0,0,1.09,0,0,43.71,0,9.84,0,0,0,0,0,0,0,0,3.28,0,1.09
108-118,0,0,0,0,2.3,0.77,7.66,0,3.83,0.77,0,0,0,0,2.3,0,0,48.26,0,2.3,2.3,0,0,0,0,0,0,0,1.53,0,0.77
120,0,0,0,1.96,0,0,7.84,1.96,3.92,0,0,0,0,0,1.96,0,0,33.32,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
