stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,15.73,0,0,25.18,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,10,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,11,0,0,3,24,1,0,0,0,0,1,1,8,1,5,17,11,0,0,3,0,0
 24-34,0,0,0,0,6.57,7.39,0,8.21,6.57,0.82,2.46,1.64,0,0,0.82,1.64,0,0,0.82,0,1.64,13.13,0.82,0.82,16.42,47.61,1.64,0.82,0,0,0,27.91,0,0.82,1.64,6.57,11.49,15.6,0,0,12.31,0,1.64
 36-46,0,0,0,0,4.83,4.03,0,14.5,51.56,1.61,1.61,8.06,1.61,0,3.22,0.81,0.81,0,1.61,0,2.42,17.72,0.81,1.61,5.64,42.7,0.81,3.22,0,0,0,19.34,0.81,0,4.83,8.06,0.81,8.06,0,0,7.25,0,12.09
 48-58,0.57,0,0,0,8.61,9.75,0,17.79,121.65,1.15,0.57,16.64,1.72,0,1.72,1.72,1.72,1.72,0,0.57,4.02,31.56,1.15,2.87,12.05,63.12,1.72,1.15,0.57,0,0.57,9.18,0,0,3.44,16.07,0,9.75,0,0.57,4.59,0,13.2
 60-70,0,0,0,0,19.63,38.28,0,34.35,136.43,4.91,0.98,32.39,6.87,0,2.94,3.93,1.96,3.93,0.98,1.96,5.89,51.04,1.96,6.87,18.65,79.5,0.98,3.93,0,0.98,0.98,12.76,0,0,7.85,27.48,0,11.78,0,0.98,5.89,1.96,18.65
 72-82,0,0,0,0,31.41,124.67,0.98,53.01,139.4,1.96,3.93,110.93,2.94,0,4.91,10.8,3.93,3.93,1.96,8.83,8.83,124.67,4.91,12.76,19.63,127.62,1.96,5.89,1.96,0,4.91,11.78,0,0,12.76,29.45,0,12.76,1.96,6.87,15.71,11.78,36.32
 84-94,1.06,0,0,0,44.61,129.57,0,81.78,221.97,11.68,7.43,72.22,12.74,1.06,5.31,24.43,7.43,5.31,2.12,11.68,19.12,96.65,6.37,15.93,19.12,86.03,6.37,6.37,6.37,0,2.12,30.8,1.06,0,37.17,55.23,0,10.62,1.06,3.19,7.43,11.68,41.42
 96-106,0,0,0,0,95.08,186.88,5.46,134.42,450.25,10.93,13.11,142.07,30.6,0,17.49,42.62,8.74,12.02,5.46,15.3,22.95,198.9,9.84,19.67,37.16,150.81,12.02,20.76,20.76,1.09,9.84,41.53,1.09,0,36.06,64.48,0,20.76,2.19,15.3,21.86,32.79,61.2
108-118,0,0,1.53,3.06,129.45,134.04,2.3,131.75,412.09,26.81,9.96,147.06,30.64,0,10.72,41.36,14.55,27.57,3.06,37.53,31.4,233.62,9.96,11.49,55.15,176.94,31.4,22.98,22.98,0,3.83,46.72,0,0,62.81,88.09,0,13.79,3.06,12.26,17.62,23.74,103.41
120,5.88,0,1.96,1.96,192.06,237.13,0,88.19,243.01,33.32,13.72,145.02,45.08,0,21.56,101.91,25.48,9.8,1.96,41.16,13.72,268.49,0,9.8,45.08,215.58,62.71,29.4,21.56,0,11.76,50.95,1.96,1.96,50.95,31.36,0,21.56,0,19.6,39.2,23.52,33.32
