stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,1,1,6,0,0,0,0,0
 24-34,0,1.64,0,0,1.64,0,0,0,5.75,0,0,0,0.82,0,0,1.64,0,4.1,0,0,3.28,33.66,13.95,0,0,0,1.64,0,0,0,0,22.98,0,0,0,0,0
 36-46,0.81,0,0,0,10.47,0,0,0,3.22,0,0,0,0,0,0,0,0,4.03,0,0,4.83,177.25,22.56,2.42,0.81,0,3.22,0,0.81,0,0,52.37,0,0,0,0,0.81
 48-58,0,1.15,0,0,27.54,0.57,0,0.57,2.87,0.57,0,0,0,0,0,0,0,8.61,0.57,0,4.59,239.85,10.33,0,0,0,8.61,0,0.57,0,0,36.15,0,0,0.57,0,1.15
 60-70,0,1.96,0,0,186.49,0.98,0.98,0.98,9.82,0,0,0,0,0,0,0,0,17.67,0,0,0.98,568.3,15.7,0,0,0,3.93,0,0,0,0,53,0,0,0,0,0.98
 72-82,0,3.93,1.96,0,338.67,0.98,0,0,17.67,0,0,0,0.98,0,0,0,0,23.56,1.96,2.94,6.87,623.36,28.47,4.91,0,0,2.94,0,1.96,0,0,53.01,0,0,0.98,0.98,0.98
 84-94,0,7.43,0,0,261.26,0,1.06,1.06,8.5,1.06,1.06,0,0,2.12,0,0,0,19.12,1.06,2.12,1.06,311.18,18.05,4.25,0,0,7.43,1.06,1.06,0,0,32.92,2.12,1.06,0,1.06,0
 96-106,0,8.74,1.09,0,233.87,0,1.09,0,16.39,4.37,0,0,0,2.19,0,1.09,0,18.58,1.09,2.19,0,320.2,24.04,12.02,0,1.09,3.28,0,0,0,0,10.93,1.09,1.09,0,0,0
108-118,0,7.66,0,0.77,181.53,1.53,0,1.53,10.72,0.77,0,0.77,0,0.77,0,0,1.53,14.55,0,3.83,1.53,328.6,14.55,4.6,0,0.77,2.3,0,1.53,0,0,7.66,1.53,0,0.77,0.77,0
120,0,5.88,1.96,0,135.23,0,1.96,0,11.76,5.88,0,0,0,0,1.96,0,0,15.68,0,1.96,3.92,435.07,23.52,5.88,0,0,3.92,0,0,0,0,11.76,1.96,0,0,0,0
