stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,2.63,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.43,6.29,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,47,3,16,0,0,0,10,0,2,0,0,0,0,2,1,17,0,0,19,261,8,0,0,5,0,1,0,32,4,0,31,79,0,0,4,0,0
 24-34,0,0.82,0.82,1.64,17.24,0,42.68,0,2.46,0.82,6.57,0,0.82,0,1.64,0.82,0.82,2.46,2.46,63.21,0,0,28.73,478.56,1.64,3.28,3.28,0,0,6.57,0,0,0.82,0,9.03,105.89,0,0,13.95,0,0
 36-46,0,0,0,0,7.25,0,76.54,1.61,0.81,1.61,20.14,0,0.81,0,0,0,0.81,0.81,2.42,34.64,0.81,0,10.47,261.84,1.61,4.83,0.81,0,0.81,3.22,0,0,3.22,0,0,75.73,0,0,4.03,0,0.81
 48-58,0,0,0,0,5.16,0.57,80.91,0.57,0,1.72,25.25,0.57,1.15,0,0,0.57,0.57,1.15,1.15,55.66,0.57,2.3,9.75,101.56,0,1.15,1.72,0,0,3.44,0,0,0,0,0,28.12,0,0,3.44,0,2.87
 60-70,0,0,0,0,2.94,0.98,63.8,1.96,2.94,0.98,33.37,0,0.98,0,0,0,0,0,0,65.76,0,2.94,4.91,83.43,0,1.96,2.94,0,0,5.89,0,0,0.98,0,0,10.8,0,1.96,4.91,0.98,0
 72-82,0,0,0,0,5.89,0.98,40.25,0,0,2.94,39.27,0.98,1.96,0,0.98,0,0.98,0.98,1.96,84.42,2.94,1.96,10.8,72.64,0,2.94,5.89,0,0.98,4.91,0,0,2.94,0.98,0,8.83,0,0,7.85,0.98,0.98
 84-94,0,0,1.06,0,20.18,1.06,42.48,0,5.31,2.12,20.18,3.19,1.06,6.37,2.12,4.25,2.12,1.06,1.06,63.72,0,6.37,9.56,54.16,1.06,4.25,5.31,0,0,10.62,1.06,0,3.19,0,0,6.37,1.06,1.06,7.43,0,1.06
 96-106,0,0,2.19,0,15.3,2.19,24.04,0,2.19,3.28,28.41,2.19,1.09,5.46,1.09,1.09,4.37,2.19,0,64.48,1.09,2.19,15.3,62.29,0,7.65,6.56,0,1.09,10.93,0,0,2.19,0,0,6.56,1.09,1.09,12.02,3.28,1.09
108-118,0,0,1.53,0,16.85,4.6,36.77,0.77,4.6,3.06,19.15,2.3,0.77,3.06,0.77,1.53,2.3,2.3,1.53,50.55,1.53,3.83,9.19,65.11,2.3,6.13,4.6,0,1.53,4.6,0,0,0.77,0.77,0,3.06,1.53,0.77,6.89,0,1.53
120,0,0,1.96,0,19.6,5.88,21.56,0,5.88,1.96,29.4,1.96,1.96,3.92,0,0,1.96,0,0,39.2,0,1.96,7.84,68.59,0,5.88,3.92,0,0,5.88,0,0,0,1.96,0,3.92,3.92,0,3.92,1.96,1.96
