stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,2068.94,35830.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634.06,0,0,0,0,0,0,0,0,0,0,0
  5-6,2709.3,35024.74,0,55.17,0,0,0,0,0,0,0,0,0,140.98,0,0,0,0,0,0,0,0,0,0,0,1158.5,110.33,0,0,306.48,0,919.45,0,0,0,0,0,0,0,0,0,0,0
  7-9,641.41,728.15,0,1101.43,0,5.26,0,2386.87,0,0,0,0,0,906.91,0,0,0,0,0,0,0,0,0,0,0,20611.74,809.64,0,0,7405.09,0,115.66,70.98,0,5.26,0,0,0,0,0,0,0,0
 10-12,9.44,692.33,0,1057.38,0,119.58,0,1973.15,0,0,0,0,0,490.93,0,0,0,0,0,3.15,0,0,0,0,3.15,18258.72,651.42,0,0,6961.1,0,47.2,37.76,44.06,805.62,0,84.97,28.32,0,0,0,0,0
 14-21,2,6,11,179,3475,1031,0,1643,0,17,0,211,93,117,27,34,115,5,13,12,52,1091,19,0,915,12898,540,65,260,454,0,516,12,2219,196,180,3680,4044,0,0,84,0,51
 24-34,0,0.82,9.85,77.16,1129.5,473.63,0,2529.06,11.49,68.13,21.34,293.05,33.66,7.39,25.45,85.37,91.12,30.37,77.16,45.15,100.14,1686.86,40.22,4.1,702.65,12791.4,141.19,159.25,206.03,0.82,2.46,600.05,0.82,9.85,64.85,38.58,664.07,3053.58,0,0,285.66,0,114.1
 36-46,0.81,0,2.42,10.47,505.15,84.6,0,3658.54,14.5,49.95,59.62,447.95,37.06,0,27.39,93.46,23.36,29.81,58.81,41.09,38.67,1566.22,29,35.45,528.52,11625.81,88.62,134.55,111.99,0.81,1.61,399.61,2.42,5.64,37.87,20.95,14.5,2641.79,0,3.22,184.5,0.81,50.76
 48-58,2.3,0,3.44,8.61,502.08,41.89,0,4584.13,14.35,87.22,78.04,744.8,57.95,2.87,36.15,86.07,26.97,54.51,49.92,42.46,22.95,2012.91,29.84,70,461.34,9061.53,52.79,78.04,107.3,0.57,5.16,309.85,0.57,0,20.08,14.92,0.57,1844.78,0,6.89,175.58,1.72,41.89
 60-70,1.96,0,11.78,0,412.24,37.3,2.94,4635.73,21.59,59.87,71.65,744.98,110.91,0.98,27.48,78.52,34.35,62.82,46.13,54.97,13.74,1854.09,23.56,80.48,295.44,7446.81,28.46,60.85,76.56,0,12.76,236.55,0.98,0,33.37,12.76,0,877.48,11.78,31.41,154.1,18.65,28.46
 72-82,0,0,32.39,1.96,545.8,141.36,34.36,3396.55,26.5,59.88,97.18,842.27,280.76,2.94,41.23,190.44,69.7,58.9,66.75,75.59,11.78,2016.33,38.28,69.7,357.32,5390.31,32.39,103.07,124.67,0.98,18.65,359.29,0.98,0,45.16,10.8,0,381.87,44.17,46.14,279.77,49.08,31.41
 84-94,2.12,0,16.99,11.68,849.63,164.62,76.47,2589.25,26.55,88.15,79.65,585.18,432.25,4.25,24.43,201.79,122.13,71.16,94.52,193.29,18.05,1473.05,39.3,95.58,283.56,3102.21,43.54,120.01,129.57,0,11.68,843.26,0,0,84.96,12.74,0,258.08,148.69,59.47,235.77,47.79,19.12
 96-106,1.09,0,25.14,12.02,1006.51,256.82,57.92,2044.72,26.23,138.79,62.29,605.44,535.49,0,54.64,313.65,137.7,54.64,121.31,156.28,18.58,1360.59,41.53,54.64,257.91,2709.17,53.55,168.3,167.21,1.09,18.58,896.13,3.28,0,57.92,8.74,0,126.77,178.13,38.25,289.6,57.92,42.62
108-118,0.77,0,15.32,16.85,955.92,221.36,64.34,1549.54,22.98,148.6,57.45,502.47,372.26,0,25.28,222.13,114.89,69.7,85.02,147.06,19.92,1081.54,43.66,48.26,289.53,3370.24,54.38,125.62,127.92,0.77,18.38,818.81,1.53,0,48.26,11.49,0,85.79,153.96,21.45,221.36,26.04,42.13
120,3.92,0,3.92,3.92,550.7,227.34,29.4,1185.67,23.52,127.39,31.36,403.72,207.74,0,21.56,235.17,58.79,37.24,33.32,47.03,3.92,725.12,15.68,39.2,243.01,2557.52,43.12,52.91,82.31,0,15.68,423.31,0,0,17.64,7.84,0,60.75,43.12,31.36,184.22,11.76,21.56
