stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,neural,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,4.93,0.82,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,7.25,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0.57,2.3,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,0,0.98,4.91,1.96,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,2.94,10.8,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,3.19,6.37,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,1.09,5.46,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0.77,9.19,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,7.84,3.92,0,0,0,0,0,0
