stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,8,0,0,0,0,0,0,5,1,0,0,0,0,0,17,0
 24-34,0,0,0,0,0,9.03,0,0,0,0,0.82,0,7.39,0,0,0.82,0,0.82,4.93,23.8,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,4.03,0,0,0.81,0,0,0.81,11.28,0
 48-58,0,0,0,0,0.57,12.62,0.57,0,0.57,0,0,0,3.44,0,1.15,1.15,0,0,0.57,18.94,0
 60-70,0,0,0,0,1.96,6.87,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,14.72,0
 72-82,0,0,0,0,1.96,17.67,0,0,0,0,0,0,4.91,0,0.98,0,0,0,0,4.91,0
 84-94,0,0,1.06,0,2.12,11.68,0,0,0,0,1.06,0,2.12,0,1.06,1.06,0,0,0,13.81,0
 96-106,0,1.09,1.09,0,2.19,12.02,0,0,4.37,1.09,1.09,1.09,4.37,0,0,7.65,0,0,0,6.56,1.09
108-118,0,0,0.77,0,0.77,9.96,0,0,2.3,0,0,0,2.3,0,1.53,4.6,0,0,0,6.89,0.77
120,0,0,0,0,1.96,11.76,0,1.96,0,0,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0
