stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,3320.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,1765.33,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,12.26,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,34.17,0,36.8,0,0,0,73.6,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,880.62,47.32,0,0,368.02,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,81.82,0,0,0,97.56,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,726.95,44.06,0,0,314.7,0,0,3.15,3.15,31.47,0,3.15,0,0,0,0,0,0
 14-21,0,2,0,14,323,58,0,53,0,1,0,24,8,7,6,1,6,0,0,4,1,92,1,0,84,899,93,8,18,29,0,22,0,177,13,7,175,346,0,0,11,0,2
 24-34,0,0,1.64,9.03,117.38,9.85,0,134.62,0,9.85,7.39,24.63,4.1,0.82,5.75,1.64,13.13,0,10.67,5.75,3.28,169.92,1.64,0,101.79,1379.86,22.98,22.98,23.8,0,0,81.26,0,0.82,6.57,2.46,44.33,343.94,0,0,38.58,0,11.49
 36-46,0,0,0,0,35.45,0.81,0,215.11,1.61,9.67,14.5,60.43,3.22,0,2.42,2.42,2.42,3.22,7.25,3.22,4.03,177.25,4.03,1.61,45.92,1336.61,13.7,16.11,8.06,0,0.81,63.65,0,0.81,2.42,2.42,0,324.68,0,0,20.14,0,5.64
 48-58,0,0,0.57,1.15,33.85,1.72,0,393.06,2.3,10.33,20.08,85.5,0,1.15,3.44,3.44,2.3,3.44,5.16,1.72,4.02,327.64,4.59,8.61,42.46,1093.1,6.31,8.03,11.48,0,0,44.76,0,0.57,3.44,1.15,0,278.87,0,0,21.8,0.57,6.31
 60-70,1.96,0,0.98,0,28.46,0,0,481.93,2.94,8.83,8.83,102.08,2.94,0,0.98,4.91,3.93,1.96,4.91,1.96,0,325.87,5.89,8.83,25.52,816.63,6.87,8.83,7.85,0,0.98,27.48,0,0,1.96,0.98,0,122.69,1.96,9.82,11.78,0.98,1.96
 72-82,0,0,4.91,1.96,46.14,4.91,0.98,519.3,1.96,6.87,30.43,150.19,10.8,0,12.76,10.8,8.83,5.89,13.74,1.96,1.96,571.33,9.82,19.63,45.16,866.81,7.85,23.56,13.74,0,3.93,36.32,0.98,0,2.94,0.98,0,70.68,3.93,15.71,49.08,8.83,9.82
 84-94,0,0,5.31,0,53.1,9.56,0,317.55,0,19.12,20.18,87.09,18.05,0,4.25,26.55,12.74,15.93,8.5,1.06,4.25,338.79,9.56,16.99,31.86,440.75,8.5,12.74,22.3,0,0,83.9,0,0,5.31,0,0,44.61,5.31,7.43,27.61,15.93,3.19
 96-106,0,0,3.28,0,89.61,13.11,1.09,242.61,3.28,16.39,17.49,88.52,20.76,2.19,13.11,25.14,16.39,5.46,16.39,5.46,1.09,296.16,10.93,13.11,21.86,346.43,7.65,31.69,29.51,0,4.37,73.22,0,0,6.56,0,0,31.69,8.74,7.65,42.62,17.49,2.19
108-118,0,0,5.36,0.77,78.89,10.72,1.53,202.21,2.3,20.68,19.92,91.92,22.21,0,3.06,31.4,13.02,11.49,8.43,12.26,1.53,223.66,3.83,4.6,28.34,484.09,12.26,14.55,19.15,0,1.53,49.02,0,0,5.36,0.77,0,18.38,9.19,6.13,26.81,7.66,7.66
120,1.96,0,1.96,0,62.71,17.64,0,131.31,3.92,21.56,13.72,48.99,19.6,0,5.88,37.24,9.8,7.84,3.92,7.84,0,121.51,7.84,3.92,19.6,352.76,11.76,11.76,5.88,0,1.96,50.95,0,0,3.92,0,0,5.88,5.88,7.84,15.68,5.88,3.92
