stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,668.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,18.4,0,34.17,0,0,63.09,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,491.57,13.14,0,0,113.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,18.88,0,0,107,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,664.01,22.03,0,0,195.11,0,0,3.15,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,2,21,28,64,0,0,0,6,0,1,0,0,0,0,0,0,25,0,0,28,492,3,0,3,5,0,0,0,51,1,1,44,107,0,3,0,0
 24-34,0,0,0,0,3.28,4.1,61.56,0,0,0,4.93,0,0,0,2.46,0,0,0,0,41.04,0,0.82,13.95,291.4,0,3.28,2.46,0,0,0.82,0,0,1.64,0,6.57,55.82,0,4.93,0,1.64
 36-46,0,0,0,0,3.22,0,62.84,0,0,0.81,12.09,0,0,0,0.81,0,0,0,0,29.81,0,0,4.83,159.52,0.81,1.61,0,0.81,0,2.42,0,0,0,0,0,37.06,0,0.81,0,0
 48-58,0,0,0,0,1.15,1.72,53.36,0,0.57,0,7.46,1.15,0,0,0,0,0,0.57,0.57,21.23,0,2.87,4.02,54.51,0,0,0.57,0,0,1.15,0,0,0,0,0,6.31,0.57,0.57,0,0
 60-70,0,0,0,0,2.94,0.98,24.54,0.98,0,0,7.85,0,0,0,0,0,0.98,0,0.98,3.93,0.98,0.98,1.96,16.69,1.96,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,2.94,2.94,29.45,0,0,4.91,11.78,0,0,0.98,0,0,0,0,0,30.43,0,0.98,9.82,23.56,0,0,1.96,0,0.98,3.93,0,0,0,0,0,0.98,0,1.96,0.98,1.96
 84-94,0,0,0,0,9.56,3.19,25.49,0,1.06,2.12,8.5,1.06,0,1.06,1.06,0,1.06,0,0,20.18,0,0,11.68,24.43,0,0,1.06,0,0,7.43,0,0,1.06,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,4.37,3.28,15.3,0,0,3.28,10.93,1.09,0,2.19,1.09,0,2.19,1.09,1.09,16.39,0,0,1.09,19.67,0,0,1.09,0,0,7.65,0,0,0,0,0,0,0,3.28,0,1.09
108-118,0,0,0,0.77,8.43,3.83,13.02,0,1.53,0,7.66,0,0,0,1.53,0.77,3.06,0.77,0,11.49,0.77,1.53,6.13,29.11,0,2.3,0,0,0,5.36,0,0,0,0,0,0,1.53,3.06,0,0
120,0,0,1.96,0,11.76,5.88,7.84,0,0,0,15.68,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96,23.52,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
