stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,18.88,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,218,2,6,0,0,0,27,0,0,0,1,0,0,0,1,31,3,0,49,88,1,0,1,0,0,1,4,0,0,3,288,0,4,0,0
 24-34,0,52.53,0.82,8.21,0,1.64,0.82,37.76,0,2.46,0,0,4.1,0.82,0,13.95,105.89,0,0.82,137.9,111.64,0,0,0,0,0,2.46,0,0,0,2.46,256.93,0,24.63,0,2.46
 36-46,0,7.25,0,4.83,0.81,7.25,4.83,18.53,0.81,1.61,1.61,0,4.03,0,0,4.03,111.18,0.81,1.61,115.21,70.09,0,0.81,0,0,0.81,0,0.81,0.81,0,1.61,161.13,0,16.11,0,1.61
 48-58,0,1.72,0,6.31,0,4.59,12.05,4.59,0,0.57,1.72,0.57,3.44,0,0,1.15,122.22,0,1.72,61.97,26.4,0,0,0,0,0,0,0,0,0,0,30.41,0,17.79,0.57,0.57
 60-70,0,1.96,0,50.06,0,5.89,8.83,6.87,0,0,0.98,0,12.76,0,0.98,0.98,157.04,0,6.87,45.15,21.59,0,0,0.98,0,3.93,0,0,0,0.98,0,8.83,3.93,14.72,1.96,0.98
 72-82,0,1.96,0,187.5,0,1.96,10.8,18.65,0,1.96,2.94,0,12.76,0,0.98,0,183.57,0,7.85,53.01,44.17,0,0,0,0,3.93,0,0,0,0,0,0.98,1.96,52.03,10.8,0
 84-94,0,0,0,190.1,1.06,0,4.25,6.37,0,1.06,3.19,0,11.68,0,0,1.06,108.33,0,7.43,28.68,21.24,0,0,0,0,4.25,0,0,0,0,0,1.06,3.19,30.8,2.12,0
 96-106,0,4.37,2.19,148.63,1.09,1.09,4.37,20.76,2.19,2.19,16.39,0,12.02,0,1.09,0,168.3,0,9.84,36.06,36.06,0,0,0,0,9.84,0,0,0,0,0,2.19,8.74,44.81,5.46,0
108-118,0,3.06,0,124.09,0,1.53,5.36,9.96,7.66,0.77,11.49,0,21.45,0,0.77,0,151.66,0,9.96,23.74,36,0,0,0,0,16.09,0,0,0,0,0,3.06,3.83,45.96,3.83,0.77
120,0,9.8,0,195.98,1.96,1.96,7.84,7.84,27.44,1.96,19.6,0,15.68,0,0,0,143.06,0,7.84,35.28,21.56,0,0,0,0,13.72,0,0,0,1.96,0,0,7.84,68.59,1.96,0
