stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0.88,5.51,0.96,0.82,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,1.85,59.08,1.8,0,0,0,0,0,1.94,18.34,0,0,0
 24-34,2.19,2.6,1.22,2.05,0,0,0,3.85,0,0.76,0,0.62,0,0,0,3.74,0,0,6.88,138.23,1.38,4.24,0,7.98,0,0,0.61,47.94,0,0.65,0
 36-46,0,0.61,0,22.08,0,0,1.17,13.27,0.72,1.71,0,0,0,1.61,0.61,22.46,0,1.42,5.77,240.28,3.1,4.27,0,20.76,0,0,0,68.81,0,0.65,0
 48-58,0,0,0,28.25,0,0,0,14.46,0,0.4,0,0,0,0,0.54,14.59,0,0,1.85,105.57,0.75,0.91,0,0.56,0,0,0,26.3,0,1.45,0
 60-70,0,0,0,21.64,2.53,0.86,0,25.28,0,0,0,0,0,0,0,29.65,0,0,0.67,51.72,0,0,1.58,3.77,0,0,0,11.86,0,1.4,0
 72-82,0,1.27,0,30.68,0,0,0.67,3.82,0,0,0,0,0.57,0.79,0,22.99,0,0.57,0.57,67.59,1.52,1.98,2,6.56,0,1.05,0,2.92,0,2.59,0.82
 84-94,0,3.55,0,33.46,0,0,0,9.71,0.71,0,2,0,0,1.13,0,42.04,0,4.89,1.49,84.62,4.93,4.74,0.59,15.38,2.8,0,0,16.35,2.79,1.75,0
 96-106,0,4.03,0.98,49.15,0,1.04,2.35,23.89,0,0,0,0,0,1.3,0,7.39,0,0,0,69.62,0,2.85,1.21,9.21,0,0,0,3.69,0,1.72,0
108-118,0,5.52,0,67.6,0.86,0.78,0,12.67,4.32,0,1.5,0.86,0.43,0,0,21.39,0.91,0,5.97,47.58,3.73,3.27,1.82,6.13,0,0,0,1.62,5.57,0.53,1.71
120,0,2.36,0,0,0,0,0,0,1.26,0,0,0,0,0,0,5.46,0,0,0,56.94,0,0,0,0,1.21,0,0,0,0,0,0
