stage,blastomeres,eye,glial,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.91,0.8,0,0,0.99,1.49,0,0
 24-34,0,0,0,1.25,0,0,0,3,0,0,0,0,0,0
 36-46,0,0,0,0.62,0,0,0,0.94,0,2.24,0,0,1.1,0
 48-58,0,1.02,1.52,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,12.54,0,0,0,0,0,1.12,0,0,0,0,0,0
 72-82,0,8.25,0,0,0,1.12,0,0,0,0,0,0,0,1.47
 96-106,0,14.94,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,3.67,3.57,0,0,0,0,1.51,0,0,0,0,0,0
120,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0
