stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  7-9,0,0,3.77,0,0,0,0,0,9.94,0,12.46,0,0,0
 10-12,3.64,0,0,0,0,0,0,0,3.2,0,4.84,0,0,0
 14-21,0,0,0,0,0,0,2.35,0,2.42,0,0,0.83,0,0
 24-34,0,2.51,0,0,0,0.75,0,0,7.23,0,0,0,5.93,0
 36-46,0,0,0,0.88,0.71,0,1.65,0,1.36,0,0,0,0,0
 48-58,0,0,0,0,1.12,0.65,0,0,7.59,0,0,0,0,0
 60-70,0,0,0,0,2.68,0,4.42,0,0,0,0,0,4.17,0
 72-82,0,0,0,0,0,0,0,0,8.12,3.74,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.52,0.95,0,0,0,0
 96-106,0,0,0,0,5.01,0,1.61,0,0,0,0,0,0,1.44
108-118,0,0,0,0,0,0.7,1.9,0.49,3.23,0,0,0,0,0
120,0,0,0,0,3.32,0,10.41,0,4.84,0,0,0,0,0
