stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.49,290.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,6.79,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.52,6.39,0,0,18.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.81,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14.98,0,0,17.94,0,0,5.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.56,2.05,19.11,0,0,0,0,0,0,0,11.3,3.42,0,0,0,6.26,0,1.7,0,0,0,2.84,6.66,0,1.88,0,0,8.77,0,1.62,0,0,0.85,5.58,0,0,18.08,0,0
 24-34,0,0,0,0,1.62,7.95,0,0,0,0,0,0,0,24.82,4.93,0,0,0,7.44,0,0.69,0.66,0,0.78,4.07,1.32,2.18,0,0,0,10.43,0,0,0,1.89,0,1.07,0,0,100.63,0,11.45
 36-46,0,0,0,0,0.57,6.11,0,6.36,0,0,0.57,0,0,60.19,2.57,0,0,0,10.12,2.07,8.9,0,4.35,0,33.37,0,2.25,0,0,0,8.16,0,0,0,0,0,0,0,0,41.23,0,3.56
 48-58,0,0,0,0,5.5,1.11,0,7.84,0.57,0,0,0,0,137.42,2.92,0,0,0,7.04,0,4.51,0,16.91,0,22.64,0,1.17,0,0,3.41,5.88,0,0,0,0,0,1.06,0,1.61,74.55,0,53.07
 60-70,0,0,0,0,0,0,0,29.78,3.1,0,0,0.78,6.89,41.94,0,0,1.55,0,0,0.59,3.58,0,24.35,1.01,7.79,0,1.03,0,0,2.16,7.67,0,0,0,0,0,1.42,4.71,27.88,14.02,10.23,7.02
 72-82,0,0,27.11,0,51.31,4.93,0,18.43,0,0,0,6.84,40.18,124.26,3.98,5.22,0,2.14,7.38,0,34.33,0.69,6.14,1.68,46.38,0,5.81,0.71,0,24.48,4.63,0,0,0,0,0,1.52,70.27,14.15,62.57,43.26,53.52
 84-94,0,0,18.73,0,6.25,1.77,0,31.8,0,0,1.5,3.9,50.91,134.46,4.79,7.74,1.43,1.64,1.64,5.75,16.79,0,47.97,0,20.77,0,4.05,1.76,0,10.76,2.18,0,0,0.73,0,0,0,532.94,47.32,42.79,151.4,6.27
 96-106,0,0,73.07,0.64,139.5,77.21,0,81.76,0,6.34,0,44.49,245.63,310.6,15.25,49.29,0,26.8,21.32,12.91,37.53,1.65,47.82,0,142.91,0,7.6,4.4,0,70.25,22.49,0,0,0,0,0,0,994.34,73.45,221.21,222.61,20.37
108-118,0,0,38.45,1.77,227.69,0,2.49,38.01,0,5.39,1.69,6.07,214.33,122.18,27.66,25.38,0,8.47,4.55,19.38,11.96,14.24,53.69,0,111.98,0,8.84,1.64,0,50.15,14.7,0,0,0,0.59,0,2.73,1287.35,3.45,130.94,186.76,30.98
120,0,0,55.78,0,425.98,3.07,0,20.62,1.06,25.15,1.44,0,414.54,180.34,42.97,9.83,0,23.39,6.12,0,24.64,0,42.03,0,181.57,0,0,18.15,0,29.12,12.2,0,0,0,0,0,0,663.73,25.3,157.01,325.35,62.64
