stage,endoderm,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,8.38,0,0,0,0
 10-12,6.76,0,0,0,0,0,0,8.24,4.3,0,0,0
 14-21,0,0,0,0.9,0,0,0,3.12,0,0,0,1.95
 24-34,0,0,3.09,0,0,0,0,31.18,0,0,1.37,3.65
 36-46,0,0,5.37,1.92,0.65,3.14,0.98,65.14,0,0,0,3.44
 48-58,0,0,4.48,2.38,0,1.54,0.53,40.73,0,0,0,4.2
 60-70,0,0.7,10.33,0,0,1.51,0,34.33,0,1.1,0,3.94
 72-82,0,5.84,34.98,0,0,1.57,0,11.12,0,0,0,0.76
 84-94,0,0,11.14,0,0,2.14,0,18.97,0,0,0,0.73
 96-106,0,0,9.54,0,0,0,0,16.49,0,0,0,0
108-118,0,0,0,0,0,0.46,0,6.77,0,0,2.98,0
120,0,0,0,2.18,0,0,0,6.92,0,0,0,0
