stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0
 14-21,0,1.72,1.08,0,0,0,0,1,0,0,0,0,1.04,0,0,13.51,0,0.96,1.09,0.99,3.16,2.21,3.07,2.54,0,0
 24-34,0.65,0,0,2.25,0,0,0,0,0,0,0.68,0,0.62,0,2.75,20.26,0.63,2.2,0.62,0,0,0,0,4.88,0.72,0
 36-46,0,1.52,0,1.9,0,0.67,2.56,0,0,0,0,0,0,0,1.44,19.26,0,0,0,0,6.05,0,0,2.88,0.88,0
 48-58,0,0,0,7.5,0.37,0,4.12,0,0,0,0,0,3.08,0,0.41,19.74,0,1.21,0,0,0,0,0,1.55,0.52,0
 60-70,0,0,0,2.54,0.69,0,3.67,0.85,0,0,0,0,3.19,0,0,1.81,2.09,1.1,0,0,3.91,0,0,0,1.22,0
 72-82,0,0,0,3.47,0,0,0,0,0,0,0,0,5.97,0,0.49,8.7,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.71,0,0,0,0,0,0,0,0,0.88,0,0,1.09,0,0,0,0,3.21,0,0,1.01,0,1.09
 96-106,0,0,0,6.71,0,0,2.84,0,2.1,0.73,1.7,0,0.64,1.47,0,9.74,0,0,0,0,0,0,0,0,3.35,0
108-118,0,0.87,0.6,10.66,0.53,0,2.87,0,1.32,0,0,2.16,5.45,0.54,0,3.58,0,0,0,0,3.23,0,0,0,1.08,0
120,0,14.3,0,1.79,2.07,0,0,2.47,0,0,0,0,15.95,0,0,27.78,0,0,0,0,1.09,0,0,0,0,0
