stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,894.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.72,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.54,1359.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.46,0,0,0,26.62,0,7.14,0,0,0,0,0,0,0,0,0,0,0
  7-9,51.91,89.77,0,67.31,0,0,0,168.86,0,0,0,0,0,46.72,0,0,0,0,0,0,0,0,0,0,0,1393.11,83.96,0,0,398.04,0,8.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,60.05,0,183.57,0,0,0,133.42,0,0,0,0,0,13.11,0,0,0,0,0,0,0,0,0,0,0,1761.88,130.21,0,0,382.89,0,7.3,0,0,91.26,0,0,5.09,0,0,0,0,0
 14-21,0,0,4.35,3.84,82.81,9.68,0,21.52,0,0,0,7.13,4.13,0.99,3.81,0,4.45,0.87,0,0,0,29.8,0,0,32.61,453.92,14.63,8.15,4.13,7.95,0,30.93,0.9,35.16,5.37,0,23,161.67,0,0,3.1,0,0
 24-34,0,0,2.03,5.05,31.03,8.19,0,36.76,0,2.94,1.56,8.65,2.08,0,3,3.71,24.17,0,4.27,0,6.17,70.18,4.71,0,31.47,822.36,8.1,40.75,15.28,0,0,130.72,0,0,0.94,0,9.48,182.33,0,0,35.13,0,3.39
 36-46,0,0,0,0,31.63,0,0,143.72,3.42,5.48,2.12,50.7,2.05,6.77,3.68,2.25,18.88,1.37,1.21,0.66,6.4,130.17,3.55,2.04,18.5,1630.99,3.75,36.04,12.88,0,0,191.19,0,0,5.43,0,0,248.68,0,0,23.57,0,18.04
 48-58,0,0,0.46,0,17.21,0,0,282.84,0,6.5,4.98,52.13,3.07,21.47,1.86,12.21,15.88,0.4,2.36,0.37,18.45,132.91,15.7,1.89,21.2,1160.88,0.46,20.49,5.77,0,1.88,95.96,0,0,1.46,1.87,0,179.34,0,0.84,18.9,0,24.15
 60-70,0,0,2.05,0,28.71,1.89,0,882.64,0,16.43,8.88,65.29,4.15,7.97,1.74,4.05,35.01,2.75,2.98,0,5.1,170.72,0.73,5.99,18.79,1564.68,0,17.1,17.01,0,2.41,159.86,0,0,0,0,0,179.53,2.05,1.27,13.35,0,12.82
 72-82,0,0,4.07,0,24.28,37.42,0,389.47,0,4.98,13.72,53.83,2.07,2.74,7.21,10.04,25.52,19.55,10.12,0,3.61,173.44,20.12,6.13,6.44,894.2,0,19.21,9.08,0,2.09,94.61,0,0,0,0,0,65.83,6.88,2.23,28.67,1.42,39.08
 84-94,0,0,2.26,0,57.89,23.54,0,330.15,0,14.65,7.93,34.37,15.2,14.72,1.06,12.18,10.28,10.06,5.39,2.07,2.35,132.1,14.16,11.75,8.15,506.41,0,15.37,11.81,0,0.79,314.66,0,0,1.62,0,0,82.74,7.67,2.52,21.05,8.6,12.6
 96-106,0,0,3.52,1.03,55.03,56.8,0,245.42,1.41,5.15,0,51.76,35.51,2.38,9.71,11.15,18.76,4.75,7.82,0,2.04,105.18,33.05,3.86,12.18,452.74,2.28,23.49,9.44,0,5.89,346.89,0,0,0.58,0,0,33.16,15.49,1.58,30.37,2.17,46.08
108-118,0,0,0,0,66.02,11.52,0.49,219.36,1.09,8.44,6.16,74.81,36.4,0,4.62,21.55,22.05,6.59,1.01,9.15,0.51,145.34,15.09,7.69,7.51,597.99,4.37,17.77,12.13,0,9.27,228.06,0,0,2.07,1.18,0,25.56,22.18,2.82,32.27,5.29,22.22
120,0,0,0,3.17,117.45,17.09,1.71,225.52,4.08,24.05,4.18,30.47,34.2,0,3.65,23.55,32.39,10.17,4.79,4.74,0,125.46,41.75,1.45,18.2,1000.59,3.03,3.55,9.6,0,0,181.09,0,0,7.31,0,0,50.81,12.83,1.32,16.79,10.8,29.96
