stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5.72,171.6,13.26,0,1.92,0,1.17,0,1.01,1.08,6.61,3.74,1.43,7.89,0,0,0,0,27.02,2.98,0,22.44,66.4,51.94,0,0,4.02,0,226.67,2.13,7.41,9.88,0,11,33.19,0,0,14.87,0,0
 24-34,2.37,3.52,104.88,1.87,0,47.5,0,15.38,4.23,6.82,0.66,8.02,7.46,4.42,26.51,0,4.4,7.09,17.05,70.12,18.42,0,65.62,191.99,40.14,5.51,0.64,0,0,709.26,0,0,9.37,0,14.98,39.54,0,0,102.93,0,19.24
 36-46,0,0,81.63,2.02,0,17.24,0,45.43,6.09,2.53,1.54,0,6.71,15.18,25.95,3.25,2.58,0,3.15,79.35,15.23,1.42,28.44,244.89,25.57,1.92,1.99,0,0,785.32,0,0,2.41,0,0,25.56,0,0,25.94,0,23.73
 48-58,0,0.4,87.1,3.53,0,30.27,1.34,17.71,10.01,12.8,2.63,0.58,2.24,10.27,9.08,1.27,3.21,4.25,7.97,168.14,50.99,3.5,43.14,165.2,44.17,3.21,8.84,0,0,472.72,0,0,1.22,0,0,20.81,0,0.91,40.41,0,30.22
 60-70,0,0,64.99,1.95,0,55.82,1.71,26.15,16.57,32,10.18,0,3.71,19.74,16.63,11.01,2.4,5.83,0,282.52,23.42,16.54,17.48,105.12,24.75,9.45,4.22,0,3.37,379.18,0,0,8.13,2.11,0,3.39,2.06,3.03,38.98,2.65,12.24
 72-82,1.31,0,58.42,25.99,10.01,33.4,1.43,20.76,28.57,30.77,29.29,0.59,4.61,10.97,8.54,4.37,8.74,0,2.34,307.33,43.99,10.52,20.36,97.58,11.64,10.88,11.69,0,5.36,269.78,0,0,2.61,0,0,16.22,7.6,2.84,83.62,4.96,7.59
 84-94,4.73,0,118.05,16.47,13.26,42.08,0,25.61,12.05,44.79,42.27,3.1,1.46,27.17,20.76,8.34,8.54,4.2,7.86,254.49,53.66,10.3,16.39,79.59,15.27,2.28,13.69,0,0,594.63,0,0,6.74,0.74,0,10.26,29.86,9.82,77.72,2.73,3
 96-106,1.68,0,124.56,38.78,13.97,45.38,0.93,27.63,19.17,40.38,63.64,0,2.82,21.98,20.19,6.63,8.29,25.96,4.6,208.53,45.41,3.74,15.15,101.57,1.88,12.82,4.39,0,4.47,522.53,0,0,6.03,0,0,7.91,40.45,7.47,73.44,9.71,12.12
108-118,1.11,1.22,149.86,19.81,60.86,49.78,1.3,33.46,9.64,47.34,84.24,0,7,20.09,28.3,19.56,5.19,11.97,2.26,182.63,38.96,9.1,8.2,93.8,7.51,19.52,5.94,0,0.95,317.16,0.79,0,1.83,0,0,0,43.8,10.4,64.6,8.94,6.21
120,0,0,197.36,11.63,15.91,46.77,0,22.05,8.55,49.5,100.24,0,11.45,58.68,17.2,36.4,2.94,8.3,11.02,183.02,18.18,21.84,14.54,97.51,35.12,4.07,6.39,0,0,259.19,0,0,5.94,0,0,4.39,33.11,21.3,111.91,14.76,0
