stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,11.51,201.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.54,605.05,6.55,0,0,0,0,0,0,0,0,31.43,8.7,14.27,0,0,0,0,0,0
  7-9,5.41,13.67,0,0,35.27,0,0,0,5.1,0,0,199.95,0,54.55,0,0,0,0,0,0
 10-12,0,44.37,3.95,0,13.14,0,0,0,0,0,0,233.41,24.35,68.46,0,0,22.16,0,0,0
 14-21,0,0,0,0.86,0,0,0,0.92,0,1.23,0.85,15.27,0,0,1.07,2.78,0,3.13,0,0
 24-34,0,0,0,0,2.24,0,0,0,0,0.91,1.06,17.01,0,0,0,0,0,6.55,0,0
 36-46,0,0,0,0,4.15,0,0,0,0,0,0,28.73,0,0,0,0,0,2.5,0,0
 48-58,0,0,0,0.4,5.17,0,0,0,0,0.77,0,4.28,0,0,0,0,0,4.09,0,0
 60-70,0,0,0,0,0,0,1.03,0,0,0,0,6.87,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,3.16,0,1.14,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.05,0.89,0,0,0,0,0.65,0,0,0,0,0,0,1.24,0.89
 96-106,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.13,0,0,0.96,0,0,1.76,0,1.63,0,0,0,0,0,1.2,0,0
120,0,0,0,1.08,0,1.04,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0
