stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,8.82,0,0,0,0
 14-21,1.32,0.82,0,0,0,0,0,0,0,0,0,4.33,0,0,0,3.13,0,98.37,0,0.96,0,0
 24-34,0,0.6,0.67,1.8,0,0,0.63,0,0,0,0.66,0,0.81,0,0,10.76,0,237.81,3.1,2.85,0,0
 36-46,0,1.45,0,1.61,1.15,0,0,0,1.33,0,0,0,0,7.76,0.65,16.2,0,211.66,0,2.8,0,0
 48-58,0,0,0,1.28,0,1.91,0,0.37,0,0,0,0,0,0,0,3.99,0,80.7,0,1.48,0.61,0
 60-70,0,0.88,0,2.67,0,0,0,0,0,0,0,0,0,0,0,10.2,0,36.94,0,0,0,0
 72-82,0,0,0,0,0,1.73,0,0,0,0.53,0,0,0,0,0,0,0,10.52,0,0,0,0
 84-94,0,3.65,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,46.39,0,0,0,0
 96-106,0,6.03,0,0,0.91,0,0.74,0,0,0,0,0,0.94,0,0,1.29,0,6.89,0,0,0,0
108-118,0,0.43,0,0,0,1.63,2.03,0,0,0,0,0,0,0,0,1.12,0,5.68,0,0,0,0
120,0,1.21,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,1.91,7.5,0,0,0,5.12
