stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,14.31,0,3.84,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,29.36,0,0,6.6,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0
 24-34,0,1.08,0,0,0,0,0,0,0,0,1.73,0,2.57,2.77,0,0,0,5.75,0,0.71,0,0,0,0
 36-46,0,0,0,1,0,0,0,0,0,0,5.33,0,0.91,10.05,0,0,0,12.68,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.56,0,0,0.59,0,14.8,0,1.66,23.02,0,0,0,16.02,0,0,0.37,0.51,2.42,0
 60-70,0,1.15,0,0,1.25,0,13.73,0,0,0,49.17,0,0.93,46.1,0,0,0,16.92,0,0,1.47,0.9,2.64,0.79
 72-82,0,0,0,4.66,0,11.66,0,0,0.53,0,69.1,0,6.89,53.22,0,0,0,12.34,0,0,0.81,6.36,23.17,6.88
 84-94,0,1.55,0,8.77,3.54,0,7.09,0,0,0,30.12,0,2.34,26.94,0,0,0,34.5,0,0,4.49,0,6.76,6.09
 96-106,0,2.69,1.07,12.97,1.1,1.31,0,1.03,4.04,0,61.32,2.32,1.47,34.71,0,0,8.22,28.35,0,0,3.82,8.28,0,23.64
108-118,0,1.33,0,9.52,0,0,4.42,0,8.26,0.95,90.21,1.36,0.43,63.49,0,0,4.58,14.41,0,0,1.31,5.29,17.13,5.45
120,0,10.33,0,0,0,4.69,0,0,0,0,22.83,0,1.9,69.25,0,0,9.36,25.66,0,0,20.31,15.47,10.09,5.52
