stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.09,586.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.93,433.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.37,5.92,0,10.91,0,5.98,0,32.38,0,0,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,141.87,10.47,0,0,117.28,0,0,4.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.35,0,11.85,0,0,0,17.8,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,231.47,10.09,0,0,108.62,0,0,0,3.57,31.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.11,42,11.43,0,3.1,0,0,0,2.1,2.23,0,0,0,0,0,0.92,0,3.97,14.81,0,0,19.35,79.24,4.89,0,0.89,2.63,0,0,0,27.1,3.24,0,14.41,25.93,0,0,0,0,3.31
 24-34,0,0,0,0,11.29,0,0,24.09,0,0,1.92,4.63,0,0,4.08,0,0,0,0.66,0,2.08,46.7,0,0,18.61,141.81,4.31,0,1.29,0,0,7.41,0,0,0,0,4.27,34.3,0,0,12.42,0,7.77
 36-46,0,0,0,0,6.62,0,0,17.91,0.68,0,2.45,16.58,0.56,0,2.38,0,0,0.85,0.61,1.07,15.78,81.26,0,1.73,23.88,91.17,7.94,0.65,1.83,0,0,5.16,0.81,1.39,3.31,0.64,0,29.39,0,0,4.94,0,8.34
 48-58,0,0,0,0,5.22,0,0,18.71,0,4.69,1.79,21.22,0,0,1.34,0,0,0.41,0,0,9.75,93.14,0,2.62,17.03,50.43,2.13,0,0.38,0,0,11.85,0,0,0.65,0.4,0,18.12,0,1.25,9.29,0,21.48
 60-70,0,0,0,0,6.37,0,0,26.28,0,0,13.79,17.82,0,0,0.76,0,1.02,4.9,0,0,4.38,218.86,0,3.06,8.62,34.18,1.31,0,0,0,3.98,0.67,0,0,0,0,0,4.5,1.22,0,4.43,0,18.11
 72-82,0,0,0.83,0,2.9,0,0,81.53,0,2.07,8.15,29.47,0,0,2.4,6.01,0,1.36,0.65,0,6.36,242.58,0,11.16,8.77,42.64,1.03,0,1.92,0,0.8,2.77,0,0,0,0,0,1.71,0,7.25,18.58,2.18,12.87
 84-94,0,0,0,0,16.69,0,1.09,68.75,0,0,3.13,28.96,1.26,0.6,3.48,1.18,1.14,3.81,0,0.6,5.74,246.34,0,10.25,16.55,27.41,4.97,0,4.2,0,0,1.72,0,0,0,0,0,0.78,0,8.19,20.93,4.82,30.7
 96-106,0,0,0,0,3.61,0.85,0.63,116.1,0,1.21,1.63,28.18,0,0,0,3.43,0,5.18,0,2.66,3.14,170.24,0,6.38,8.78,34.44,0.62,0.84,0.74,0,14.31,14.78,0,0,0.67,0,0,0,1.22,4.59,27.38,9.33,24.88
108-118,0,0,0,0,8.62,0.49,0,64.66,0,2.95,12.5,31.23,3.04,0,1.64,2.94,1.45,14.07,0,0,17.94,182.06,2.25,3.47,15.17,41.84,1.67,0,2.3,0,21.7,4.74,0,0,0,1.02,0,3.77,0,7.84,12.27,2.85,26.32
120,0,0,0,0,19.57,0,0,48.79,5.8,1.05,0,51.28,0,0,0,3.69,0,2.11,0,9.99,17.74,213.68,0,11.52,1.82,32.11,0,0,8,0,50.82,3.94,0,0,0,0,0,0,0,5.29,23.53,20.1,0
