stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.48,168.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,63.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.1,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.31,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0,0,0,12.18,0,0,0,0,8.36,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,3.85,47.05,36.55,0,9.79,0,0,0,1.09,7.84,0,2.84,0,0,0,0,0,0,34.75,0,0,33.22,187.41,10,6.06,0.87,0,0,0,0,6,5.13,6.76,28.54,191.23,0,0,11.53,0,0
 24-34,0,0,3.04,0,21.94,9.03,0,55.99,0.73,1.46,5.48,7.43,0.91,0,9.12,0,1.69,0.63,4.3,0,0.59,179.08,0,0.89,70.46,860.96,2.66,8.43,1.94,0,0,4.96,0,0,9.54,0,18.06,515.37,0,0,84.12,0,3.02
 36-46,0,0,0,0,32.6,0,0,66.5,4.72,10.36,8.78,34.74,0,0,5.89,1.61,0,0,0.77,2.66,0,192.8,0.56,5,67.11,1245.36,5.25,2.57,2.06,0,1.69,7.07,1.46,0,11.39,0.58,3.24,654.31,0,0,37.28,0,1.39
 48-58,0,0,0,0,10.16,1.99,0,192.03,4.51,2.74,15.85,55.73,0,0,2.75,1.53,0,7.88,1.26,0,0.54,250,0,23.66,43.78,1625.85,0,1.57,3.01,0,0,4.26,0.56,0,0.45,0.94,0,497.28,0,0.89,43.42,0,2.77
 60-70,0,0,0,0,8.66,1.4,0,229.88,4.66,3.56,17.61,70.89,0,0,3.68,2.83,0,0,4.19,0,5.09,271.77,0,10,38.33,2072.26,3.02,7.65,3.95,0,5.37,12.36,0,0,0,0,0,266.8,0,2.01,20.02,1.69,0
 72-82,0,0,0,0,20.81,0.6,0,237.21,0,1.52,15.89,100.07,0,0,8.3,0,0,0,3.38,0,0,438.45,0,22.18,56.83,1553.49,0,3.26,4.87,0,0.84,5.41,0,0,0,0,0,154.84,4.74,6.82,71.15,7.81,22.23
 84-94,0,0,0,0,30.19,0,0.74,236.78,0,5.05,8.93,51.85,0.72,0.99,5.73,6.06,0,0,1.71,0.83,1.69,329.1,0,25.95,17.76,975.39,4.25,0,16.79,0,0,0,0,0,2.11,0,0,128.89,0.9,5.12,93.42,7.39,3.41
 96-106,0,0,0.99,0,10.6,10.64,0,135.23,0,4.82,3.95,110.66,0.86,0,8.76,2.66,5.89,0.75,3.02,0,0.69,253.02,0,2.62,36.52,670.9,0.71,2.42,16.11,0,8.81,6.62,0,0,0,0,0,32.56,0,11.64,79.45,18.58,19.38
108-118,0,0,0,0.74,25.29,0.45,0.53,130.87,1.89,2.96,9.17,112.18,3.73,0,4.77,2.76,0.49,2.26,3.72,0.6,0.83,238.74,0,25.04,30.28,994.8,6.04,2.15,15.25,0,12.28,4.85,0.79,0,1.09,0.85,0,19.61,2.35,2.54,76.82,9,5.35
120,0,0,0,0,34.6,0,0,168.16,4.1,22.15,7.36,172.07,2.89,0,16.65,5.77,0,0,4.69,1.84,0,549.45,0,18.72,17.19,2033.11,11.62,2.82,25.39,0,22.78,11.26,0,0,0,0,0,56.46,0,5.53,160.47,21.5,0
