stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,557.07,6266.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,1529.85,20114.46,0,10.26,0,0,0,0,0,0,0,0,0,27.43,0,0,0,0,0,0,0,0,0,0,0,182.43,6.07,0,0,60.59,0,204.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,48.84,104.11,0,185.56,0,0,0,510.3,0,0,0,0,0,78.07,0,0,0,0,0,0,0,0,0,0,0,3155.33,93.55,0,0,1179.17,0,3.78,33.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,90.14,0,395.2,0,19.77,0,701.46,0,0,0,0,0,32.05,0,0,0,0,0,0,0,0,0,0,0,7559.99,308.36,0,0,2054.92,0,71.66,35.98,0,304.79,0,37.77,5.09,0,0,0,0,0
 14-21,12.33,1.28,7.15,628.15,19442.05,536.49,0,4131.72,0,24.21,0,183.68,208.22,57.71,115.64,57.11,411.49,13.77,37.05,2.29,172.17,3271.78,86.93,0,2801.66,26401.08,2401.39,34.32,1128.74,521.31,0,1338.84,11.99,1405.85,496.41,204.01,3006.31,4477.12,0,0,136.67,0,207.3
 24-34,0,0,3.5,122.57,3591.48,16.36,0,319.97,15.22,75.41,6.59,166.81,26.17,1.72,55.23,115.06,103.2,46.11,25.08,38.33,62.65,1575.5,89.17,2.59,532.15,3011.26,357.85,74.36,130.83,0,0,1163.35,0.98,0,183.57,16.87,78.52,866.38,0,0,298.28,0,172.32
 36-46,2.14,0,8.15,39.27,3001.55,11.8,0,1276.55,42.49,289.19,46.22,543.18,94.67,3.79,152.41,217.22,92.66,46.34,21.81,83.46,54.57,2104.03,94.29,22.84,546.93,5066.41,656,135.41,292.75,0,1.69,1603.1,0,0,247.76,13.73,5.32,1692.41,0,11.62,299.04,0,151.09
 48-58,0.58,0,0,4.27,1470,16.37,0,629.13,7.97,271.36,35.28,404.85,44.85,143.29,47.31,145.94,23.89,19.09,32.29,32.88,19.8,1216.02,24.67,26.63,156.04,1421.21,64.16,24.12,63.44,0,8.28,659.33,0.56,0,29.34,9.15,0,327.52,0,13.48,68.9,0,82.13
 60-70,0,0,4.74,0,1507.82,10.67,0,1269.44,33.06,503.25,64.97,1486.42,60.57,113.48,61.73,182.37,70.19,29.66,86.23,110.29,16.39,3050.33,44.27,67.08,277,2557.82,132.64,35.31,252.8,0.81,29.7,763.62,0,0,77.89,11.2,0,861.2,17.47,66.79,100.05,10.22,53.92
 72-82,0,0,7.5,2.36,762.87,19.33,2.4,797.86,13.44,178.83,42.29,372.7,70.86,6.98,22.93,98.54,35.26,6.51,38.6,20.37,11.14,1414.99,13.07,32.64,90.6,1024.04,29.03,45.85,100.46,0,50.16,253.01,0,0,29.15,0,0,104.15,9.66,40.21,35.48,51.27,16.84
 84-94,1.23,0,20.58,18.4,1379.64,57.05,11.65,680.24,31.04,493.55,83.26,313.55,265.34,28.47,29.61,203.33,64.86,14.2,98.38,91.97,5.19,1431.68,22.6,24.63,83.44,956.46,21.97,135.45,120.69,0,12.78,969.33,0,0,101.54,1.29,0,105.12,40.82,67.44,48.05,101.03,17.52
 96-106,0,0,19.17,13.75,1735.59,39.13,15.16,778.31,14.17,456.84,83.42,430.06,280.09,4.24,29.8,176.44,88,20.21,155.76,54.04,5.49,1466.39,38.83,34.89,96.5,724.29,58.63,178.79,135.08,0,33.81,1098.79,0,0,103.98,2.06,0,24.94,38.66,95.9,87.44,88.94,24.74
108-118,0,0,24.87,20.67,2135.06,39.81,83.59,637.01,10.64,858.21,90.13,534.44,518.9,2.74,29.2,193.87,109.17,24.06,162.63,142.1,12.49,1598.88,53.53,62.02,86.01,1162.29,116.23,188.31,189.13,0,59.66,895.11,0,0,187.24,4.16,0,121.76,94.91,61.68,75.98,88.12,27.37
120,2.37,0,3.57,1.28,1064.71,44.55,7.45,333.37,12.59,449.25,89.14,436.96,226.46,0,23.15,245.5,91.61,15.63,85.94,54.16,1.28,1199.2,39.59,46.63,101.96,893.58,53.99,159.82,126.51,0,29.92,325.42,0,0,96.82,1.21,0,150.37,33.1,80.68,79.57,146.27,13.16
