stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,64.19,1092.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.44,0,0,0,0,0,0,0,0,0,0,0
  5-6,84.41,812.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.05,0,0,0,6.9,0,6.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.01,0,0,3.56,0,0,0,21.88,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0,0,0,314.49,10.28,0,0,45.56,0,3.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,84.39,0,0,0,26.15,0,0,0,0,0,36.48,0,0,0,0,0,12.78,0,0,0,0,0,827.2,120.61,0,0,212.99,0,9.29,10.65,4.61,46.58,0,0,0,0,0,0,0,0
 14-21,0,0,21.49,14.49,239.65,65.74,0,149.21,0,8.82,0,11.25,7.22,31.75,9.53,47.97,335.22,2.07,2.99,67.87,79.27,81.41,27.32,0,25.44,1040.9,274.27,37.62,18.54,23.03,0,54.17,3.34,51.85,33.81,32.11,66.28,503.85,0,0,55.76,0,130.49
 24-34,0,0,19.32,9.56,176.91,34.9,0,446.6,0.68,30.16,1.39,47.12,9.28,21.44,31.49,223.09,1174.14,17.97,16.71,84.98,311.3,218.16,153.05,0,96.64,5038.55,53.69,248.01,41.7,1,0,206.86,0,0.85,114.13,22.55,38.75,1348.88,0,0,239.57,0,377.53
 36-46,0,0,7.67,1.8,91.87,16,0,763.58,0,19.84,21.37,123.55,6.37,15.32,13.23,360.57,607.15,45.23,8.03,36.18,403.53,219.83,50.04,4.14,65.71,8393.48,55.35,208.99,13,0,1.69,309.51,0,7.94,90.87,14.65,0,1728.06,0,0,131.23,0,299.73
 48-58,0,0,7.46,0,118.36,9.48,0,2105.91,8.29,29.32,37.71,357.28,1.94,5.45,9.69,229.45,133.87,127.63,13.16,27.18,327.27,399.94,31.68,10.18,58.46,11485.83,24.31,129.29,25.4,0,2.9,198.35,0,0,66.36,12.68,0,1969.89,0,1.25,80.46,0,353.49
 60-70,0,0,13.27,0.68,120.45,16.16,1,6853.34,3.2,17.71,40.1,480.37,38.9,6.5,2.83,278.48,144.39,212.3,10.92,29.56,141.84,544.92,11.56,27.61,52.77,15484.45,25.85,145.57,41.08,0,1.55,201.6,0,0,50.17,0.64,0,2063.45,6.6,10.93,90.86,4.22,322.51
 72-82,0,0,30.26,0.56,142.13,67.65,0.51,10133.73,10.12,44.73,48.69,712.22,65.12,4.32,17.43,249.7,234.98,167.16,19.79,71.25,81.83,896.34,53.9,44.19,62.68,15984.51,17.89,189.72,69.76,0,5.88,176.44,3.31,0,61.8,5.57,0,1254.42,23.68,19.07,137.35,24.37,283.98
 84-94,0,0,45.02,0,266.72,109.54,2.08,8295.3,10.65,29.83,18.46,612.46,98.25,4.74,14.93,313.6,472.18,235.73,35.74,61.31,156.29,694.18,42.47,47.29,54.12,10949.7,10.35,228.13,82.18,0,6.98,486.1,1.4,0,86.33,5.03,0,896.87,90.63,27.23,126.29,28.59,201.6
 96-106,0,0,32.84,0,315.74,156.48,7.87,7842.02,13.81,34.05,42.8,669.58,128.21,0,20.09,334.94,475.64,173.27,57.44,91.77,76.77,654.54,82.83,37.13,44.56,9746.1,15.91,297.23,111.9,0,15.33,505.71,3.41,0,104.48,2.08,0,363.53,64.16,22.06,198.96,31.98,176.37
108-118,0,0,19.22,0.45,321.88,82.3,23.76,7040.2,4.33,41.17,27.65,635.75,149.67,0,8.12,302.19,416.06,260.61,36.97,59.96,153.6,629.77,71.86,37.45,54.77,12554.74,15.37,235.7,93.46,0,16.85,461.15,0,0,81.31,2.82,0,356.81,63.52,12.76,166.15,28.83,176
120,2.31,0,19.43,0,350.02,76.73,19.86,4663.11,16.52,102,80.43,789.92,99.92,0,18.55,481.75,237.93,139.6,30.75,33.64,28.1,612.51,65.19,105.45,42.56,15934.6,44.59,213.51,132.42,0,46.52,316.96,0,0,73.84,3.15,0,421.65,31.71,6.75,160.62,60.01,62.94
