stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.02,4.72,0,22.99,0,0,0,22.01,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,144.27,3.53,0,0,87.05,0,19.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.25,0,59.7,0,0,0,26.27,0,0,0,0,0,50.38,0,0,0,0,0,0,0,0,0,0,0,528.47,65.88,0,0,205.06,0,19.61,6.56,0,15.67,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,2.74,37.56,5.26,0,8.8,0,1.95,0,0,2.74,0,1.26,0,0,0,0,12.25,0.85,13.56,0,0,13.96,141.02,18.06,1.84,0.84,1.79,0,23.87,0,20.5,1.63,7.05,59.64,53.11,0,0,1.25,0,0
 24-34,0,0,1.22,0.79,13.47,2.12,0,22.14,0,9.33,0.71,5.2,1.34,0.74,2.56,0.98,2.87,0,5.25,6.97,2.14,33.63,1.31,0,11.31,340.82,0,18.07,2.81,0,1.14,65.65,0,0,8.15,0,7.23,91.07,0,0,16.84,0,2.13
 36-46,0,0,0.69,0,21.01,0,0,35.2,0,1.17,4.41,17.78,0.59,0,1.34,0,7.82,1.37,0,0,2.5,52.23,0,3.06,21.17,404.96,1.75,9.38,5.91,0,2.1,54.09,0,0,1.46,0,0,133.52,0,0,4.54,0,3.59
 48-58,0,0,0.42,0,5.11,0,0,80.92,2.32,5.37,4.4,45.55,0,5.45,1.36,0.5,0.4,0.46,3.09,1.77,0.57,47.62,0.95,1.17,7.31,525.97,2.38,10.12,12.18,0,0.4,56.19,0,0,1.17,0.5,0,87.04,0,0,9.4,0,10.54
 60-70,0,0,0,0,12.08,0,0,470.52,1.53,1.25,3.99,82.48,0,0.66,2.04,12.17,0.56,1.91,3.52,1.2,0.86,134.57,0,2.6,14.97,958.82,1.76,15.28,8.24,0,0,94.1,0,0,1.17,0,0,157.45,0,2.56,13.49,3.9,19.1
 72-82,0,0,0.78,0,15.52,5.53,0,653.45,0,1.33,13.68,108.14,3.27,0.6,1.02,5.71,5.45,1.74,5.79,0,4.57,172.34,1.71,6.03,22.74,909.11,1.67,26.34,7.9,0,1.67,42.12,0,0,1.5,0,0,89.77,0.56,10.44,35.32,5.05,17.51
 84-94,0,0,8.73,0,31.86,30.69,10.69,471.21,0,8.92,19.61,68.01,9.83,0.77,1.92,3,14.35,1.97,2.96,0,6.39,164.76,9.94,5.66,20.15,635.02,0.61,27.09,11.38,0,0,133,0,0,0,1.18,0,66.45,3.13,5.96,29.91,1.57,7.64
 96-106,0,0,1.95,0,31.99,27.08,1.87,503.5,0,5.92,9.6,102.72,9.49,0,2.57,8.77,11.01,2.88,13.59,0.93,3.2,218.43,13,7.07,15.83,575.58,3.06,36.82,6.05,0,1.82,83.56,0.7,0,1.6,0,0,51.42,4.08,7.27,38.09,8.64,9.84
108-118,0,0,3.09,0,66.05,19.28,16.67,619.59,0,11.74,5.33,105.04,17.06,0,2.34,6.45,16.52,10.82,5.03,6.86,10.14,253.15,6.99,9.22,18.73,876.57,1.92,35.75,10.85,0,1.05,103.4,0.79,0,2.84,0.57,0,27.95,4.55,4.08,44.75,2.55,24.76
120,0,0,3.64,0,62.52,33.16,2.84,534.07,11.64,16.04,12.74,203.71,25.61,0,3.08,22.81,9.15,4.12,0,17.8,1.79,281.07,20.58,33.28,15.01,1426.81,34.45,38.31,15.02,0,3.68,105.83,2.5,0,6.9,0,0,44.54,0,1.66,59.14,22.41,7.03
