stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.95,233.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.25,343.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.19,0,0,0,0,0,11.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,69.06,5.97,0,60.26,0,0,0,6.09,0,0,0,0,0,46.64,0,0,0,0,0,0,0,0,0,0,0,105.34,4.58,0,0,51.79,0,0,18.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.15,0,0,0,52.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.5,12.7,0,0,75.79,0,0,0,0,5.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.4,42.85,17.62,0,2.96,0,0,0,4.75,1.84,0,0,0,2.61,0.96,0,9.11,0,15.72,2.05,0,11.85,109.59,0.83,0,6.17,3.27,0,6.05,1.23,12.62,3.51,2.26,18.19,27.36,0,0,15.23,0,47.63
 24-34,0,0,0,10.81,21.68,3.95,0,36.57,0,2.69,0,4.66,1.32,6.74,0.82,0,10.75,2.1,1.67,21.19,5.09,41.91,6.48,0,28.89,184.01,5.9,0.71,1.29,0,0,2.45,0,0,0,0,8.55,33.24,0,0,87.38,0,640.39
 36-46,0,0,0,0,12.46,4.5,0,81.6,0,1.06,3.19,14.53,0,0,5.61,0,0,0,1.61,0,2.25,81.92,0,1.12,11.92,127.06,0.62,0.62,2,5.14,0,5.41,0,0,3.37,0,0,23.87,0,1.04,33.03,0,1305.18
 48-58,0,0,0,0,24.94,0,0,62.68,0.59,0,17.58,48.12,0,4.75,1.31,0,0,3.08,0.45,14.16,20.81,115.83,0,0.44,15.1,97.08,2.49,0,4.71,0,0,1.22,0,0,0.37,0,0,26.28,0,1.38,15.82,0,1667.78
 60-70,0,0,0,0,4.76,0,0,58.98,0,2.58,9.95,99.64,5.91,0,0.7,0,0.64,31.49,3.17,12.21,2.1,245.09,3.42,1.68,22.09,101.49,3.69,0.72,4.91,0,2.61,13.47,0,0,0,0,0,24.21,0.97,2.6,12.22,2.15,1424.3
 72-82,0,0,0.86,0,18.34,3.9,0,52.23,0,5.22,29.8,146.33,45.64,0,2.57,2.19,1.4,11.67,5.28,21,7.23,346.96,2.64,19.23,27.66,88.25,1.11,1.53,13.83,0,7.47,7.7,0,0,0.63,0,0,20.8,1.36,4.47,40.89,9.13,1192.31
 84-94,0,0,1.65,0,27.33,0.6,1.19,99.26,0,9.23,26.32,119.4,115.76,0.91,6.89,0.75,0.83,14.06,2.28,31.79,9.94,380.22,1.97,19.31,23.54,86.32,3.91,2.15,11.9,0,0,18,2.8,0,1.07,0,0,17.87,0,9.48,39.24,13.1,721.09
 96-106,0,0,2.89,0,46.47,6.71,0,113.66,0,3.23,22.58,184.36,302.6,0,4.5,7.16,1.63,6.63,2.43,38.64,2.63,358.15,3.71,15.88,21.65,133.27,4.9,3.92,8.27,0,4.28,20.51,0,0,0.69,0,0,21.5,0,9.03,33.31,8.76,846.74
108-118,0,0,0,0.46,55.27,2.02,0,40.74,1.22,10.95,15.48,121.77,557.53,0,4.99,4.36,0.77,35.76,2.59,71.26,7.79,419.59,4.46,15.25,22.02,165.5,0.6,0.54,22.65,0,11.94,20.51,0,0,1.1,0.44,0,16.32,0,10.77,44.14,13,869.77
120,0,0,0,0,55.23,7.34,2.42,45.77,1.18,7.32,14.69,145.19,364,0,5.33,6.3,0,35.74,4.16,70.37,4.37,240.27,16.53,16.6,37.33,148.6,5.33,2.64,15.32,0,0,4.24,0,0,0,2.35,0,2.04,1.63,16.61,18.35,38.65,372.65
