stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.57,87.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0,0,0
  5-6,0,47.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.1,0,0,423.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.97,60.95,0,0,193.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.47,0,328.91,0,7.8,0,28.98,0,0,0,0,0,9.81,0,0,0,0,0,0,0,0,0,0,0,418.43,20.13,0,0,230.38,0,0,0,4.64,0,0,0,0,0,0,0
 14-21,0,0,3.28,0,0,0,0,0,0,0,0,11.82,0,0,0,0,0,0,0,0,0,9.33,0,0,6.52,277.55,5.94,0,0,0,0,3.59,0.9,0,5.14,210.4,0,0,0,0,0
 24-34,0,0,3.61,0,10.42,0,0,50.23,0,0,1.06,24.32,0,0,1.77,0,0.73,0.97,0,0,0,20.27,0,0,12.19,3091.94,3.66,36.68,3.41,0,0,0,0,0.94,2.69,808.61,0,0,2.85,0,0
 36-46,0,0,2.65,0,18.71,1.07,0,223.95,0,0,14.67,170.59,0,0,0,0,0,0,0,0,7.07,46.98,0,0,9.7,7137.98,1.93,20.25,0.64,0,0,15.47,0,0,0,1390.53,0,0,0,0,3.23
 48-58,0,0,2.05,0,30.16,1.72,0,808.41,1.46,0,2.46,361.18,0,0,1.36,1.24,0.37,0,1.46,0,14.89,80.92,1.1,3.65,20.58,8741.32,4.15,10.67,1.5,0,0.53,14.75,0,0,0,1678.17,0,0.42,5.01,0,20.92
 60-70,0,0,1.59,0,23.17,0,0,1545.52,0,3.94,12.74,296.29,2.06,0,0,1.92,0,6.06,2.2,5.16,0,144.12,0,4.88,9.3,8412.17,7.19,13.18,0,0,2.4,7.06,0,0,0,1211.01,0,2.91,10.29,0.71,5.53
 72-82,0,0,3.27,0,24.12,8.79,0,1919.74,0,7.14,9.72,315.05,6.65,0,5.1,6.87,0.66,0.57,0,0.88,0,277.28,2.07,4.71,18.8,6989.05,0,18.97,3.8,0,1.42,11.2,0,0.65,0,750.39,0,5.84,4.28,1.53,26.16
 84-94,0,0,3.38,0,30.56,5.39,0,1230.55,2.21,1.52,2.74,178.45,1.68,0,3.64,3.12,0,8.28,0.69,3.77,0,217.68,0.86,4.77,18.22,4584.07,3.75,18.42,1.44,0,4.14,14.16,0,2.39,0,555.03,3.78,2.31,8.36,2.02,0.58
 96-106,0,0,3.21,0,35.44,24.2,0,946.33,0,1.2,0,174.59,5.19,0,0.58,0.64,1.23,1.35,0,11.75,0,178.32,5.14,2.15,7.74,3606.23,1.41,12.85,0.77,0,4.47,8.74,1.35,0,0,227.09,2.03,5.3,5.58,5.4,0
108-118,0,0,1.98,0.59,44.35,5.31,0,944.31,1.87,2.78,15.61,183.02,1.71,0,0,4.18,0,2.39,0,0,0,221.95,0.71,1.32,10.38,5130.06,1.42,31.02,0,0,5.38,4.51,0,0.54,0,203.42,1.13,0,2.58,2.55,2.31
120,0,0,0,0,62.87,3.5,3.69,1064.02,0,13.62,3.89,275.2,8.01,0,0,10.45,0,22.03,3.84,0,0,199.04,0,21.35,12.07,6177.4,2.33,49.73,0,0,0,8.18,0,0,0,224.17,0,1.54,0,13.74,0
