stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.38,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.47,8.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.12,3.14,0,0,76.7,0,0,0,3.28,0,0,0,0
 14-21,0,0,2.16,0,3.54,3.13,0,0,2.01,23.6,0,0,0,4.33,0,0,0,0,21.89,0,2.38,16.77,2.06,1.35,17.75,1,78.76,0,0,0,0
 24-34,0,0,0,0.6,2.21,0,0,0,0,32.45,0,0,0,0,0,0,0,0,34.85,1.55,11.37,5.43,0,2.13,8.37,1.3,76.49,0,0,0,0
 36-46,0,0,0,0,3.46,0,0,1.05,0,18.82,0,0,0,0,0.86,0,0,0,15.69,0,25.75,0.58,0,0,3.37,0,36.66,0,1.62,0,0.92
 48-58,0,0,0,0,0,0,0,3.97,0,8.55,0,0,0.89,0,0,0.73,0,0,13.9,0,24.19,5.18,0,0,5.56,0,52.65,0,0,0,0
 60-70,0,0,0,0,6.87,0,0,0,0,7.56,0,0,0,0,0,1.32,1.53,0,10.88,0,18.03,9.82,0,1.32,0,0,12.35,0,0,0,0
 72-82,0,0,0.87,0,0,0,0,2.83,0,12.85,0.94,0,1.12,0,0,0.73,0,0,16.96,0,13.53,2.19,0,0,1.1,0,17.95,0.8,0,0,0
 84-94,0,0,0,0,0,0,0,1.92,0,37.23,6.67,0.57,2.09,0,0,4.07,0,0,15.73,0,27.17,4.49,0,0,2.86,0,19.79,0,0,5.89,0
 96-106,0,0,1.14,0,0,1.01,0,8.01,0,10,0.89,0,4.01,4.97,0,4.95,0,0,3.2,0,30.19,5.7,0,0,1.1,0,27.76,0,0,0,0
108-118,0,0,1.43,0,2.96,0,4.96,7.72,0,15.63,0,0.91,3.44,0,0,3.08,0,1.11,15.27,0,27.11,6.06,0,1.02,0.61,0,5.65,0,0,0,0
120,0,0,0,0,0,0,0,14.33,0,0,0,0,6.37,0,0,1.25,0,0,0,0,16.93,11.62,0,0,2.81,0,4.98,0,0,0,0
