stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.16,30.39,0,0,3.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,71.85,0,0,0,0,0,0,0,0,0,42.41,0,0,0,0.84,0,13.41,28.8,4.96,180.43,0,0,0
 24-34,0,0,0.6,0.62,1.41,0,92.86,0,0,1.01,0,0,0,0,0,0,69.47,0,1.06,0.81,0,0.66,0,82.37,0.62,184.38,0,5.16,0
 36-46,0,0,0,7.48,0,0,89.38,0.8,0,0,0,0,0.66,1.3,0,0,79.62,0,1.17,7.55,0,0,0,34.86,0,126.65,0,0,0
 48-58,0,0,0.51,0,0,4.26,111.37,0,0,0,0,0,5.79,1.85,0.39,1.38,34.08,0,12.84,0,0,0,0,16.82,0,119.45,0,0,0
 60-70,0,0,0,0,0,0,198.93,1.81,0,0,0,0,0,8.07,0,0,33.62,0,3.09,6.34,0,0,0,53.28,0,96.06,0,0,0.81
 72-82,0,1.69,0,0,0,8.86,158.43,1.38,0,0,1.72,0,0,0.5,1.42,0.64,26.28,0,4.26,3.24,0,0,0,4.66,0,43.28,0,0,0
 84-94,0,0.98,2.04,1.66,0,1.91,167.34,8.15,4.44,0,0,2.24,0,4.38,0,0,19.66,0,5.03,1.04,0,0,0,8.83,0,56,0,0,0
 96-106,0,0,1.98,0,0,8.4,137.05,4.09,0,0,0,0,2.48,16.18,3.68,0,11.79,0,4.95,3.78,0,0,0,4.38,0,52.87,1.88,0,0
108-118,0,2.48,0.61,0.49,0,0.42,137.64,9.65,0,0,0,0,0,10.2,0,0,10.28,0,7.71,1.07,0,0,0,5.69,0,24.17,1.36,0,1.17
120,0,0,0,0,0,10.47,138.62,1.66,0,1.63,0,0,5,2.37,0,0,3.2,0,14.38,0,0,0,0,14.9,0,23.36,0,0,3.95
