stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,465.44,10070.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,680.64,7096.7,0,0,0,0,0,0,0,0,0,0,0,46.41,0,0,0,0,0,0,0,0,0,0,0,236.94,12.13,0,0,32.12,0,249.97,0,0,0,0,0,0,0,0,0,0,0
  7-9,119.16,131.42,0,131.23,0,0,0,327.24,0,0,0,0,0,283.63,0,0,0,0,0,0,0,0,0,0,0,2314.53,144.26,0,0,1002.99,0,0,63.49,0,13.28,0,0,0,0,0,0,0,0
 10-12,8.69,128.34,0,220.89,0,70.51,0,620.42,0,0,0,0,0,128.06,0,0,0,0,0,0,0,0,0,0,0,5377.78,384.33,0,0,1734.24,0,0,14.05,8.86,189.29,0,62.04,10.18,0,0,0,0,0
 14-21,0,0,3.84,8.11,82.55,396.61,0,109.87,0,0,0,58,10.15,0.86,1.34,1.43,2.16,0,0.93,0,2.02,104.42,0,0,93.01,2069.47,48.96,9.88,8.86,53.66,0,4.79,2.02,147.36,13.85,15.21,106.55,1203.11,0,0,7.23,0,2.6
 24-34,0,0.83,1.55,0.67,36.99,768.76,0,467.27,0,10.73,5.7,122.2,0.9,7.49,9.74,11.7,3.67,8.06,1.05,0.96,8,239.19,0,1.73,77.17,6317.84,26.22,49.43,28.39,0,2.91,4.17,0,0,2.82,0,29.25,2083.17,0,0,51.08,0,12.11
 36-46,0,0,1.35,0,37.32,291.49,0,1252,0,8.8,10.11,168.06,0,0,3.45,4.25,2.37,6.57,9.58,3.55,7.71,296.23,0,8.68,67.65,7062.24,12,53.08,14.35,0,0,11.71,0,3.27,1.81,0.7,0,2180.38,0,0,37.81,0,34.91
 48-58,0.39,0,0.46,0,37.25,291.02,0,2451.95,0,8.97,13.04,443.81,3.6,9.33,5.37,5.95,1.91,7.94,2.8,10.23,11.59,370.42,0.59,10.51,59.38,6991.27,11.78,27.26,14.61,0,1.08,17.08,0,0,1.85,3.08,0,1568.05,0,0.4,63.07,1.4,32.67
 60-70,0,0,11.91,0,49.18,299.81,0,3746.77,7.99,18.59,13.15,457.99,10.47,0,4.08,31.74,0,8.55,14.02,0,1.95,346.84,1.67,25.98,40.47,5898.71,10.97,10.71,7.18,0,4.05,6.91,0,0,0,1.32,0,870.93,0,3.32,47.79,3.84,40.3
 72-82,0,0,2.35,0,24.71,812.69,0,3230.64,2.64,2.76,20.64,484.1,6.2,0.67,14.22,24.62,8.63,18.77,12.26,3.16,8.04,400.6,0.6,21.3,38.77,4939.65,3.58,26.89,28.07,0,13.31,10.28,0,0,0.5,0,0,456.54,4.25,9.31,43.38,10.67,24.12
 84-94,0,0,5.89,1.04,57.11,819.98,0,2318.65,4.62,6.11,9.31,361.62,7.02,0,1.31,17.66,8.04,10.69,7.91,5.15,15.03,329.84,0.58,26.05,32.65,3190.54,12.85,18.61,36.84,0,7.98,36.96,0,0,0.56,0,0,359.07,6.93,10.02,53.7,4.87,26.01
 96-106,0,0,3.54,0,36.49,1246.99,1.5,1939.56,3.47,8.1,16.66,353.08,12.93,0,8.12,11.11,0.84,8.18,25.06,13.24,1.42,232.58,1.69,16.77,24.34,2526.65,6.75,26.37,49.35,0,7.93,32.92,0,0,3.19,6.99,0,85.62,0,6.76,58.34,6.35,21.61
108-118,0,0,3.26,0,61.21,776.09,1.11,1594.22,0.44,1.46,10.87,355.49,5.7,0,6.33,24.87,4.01,23.12,12.19,7.24,6.88,290.98,5.27,11.77,32.31,2779.03,11.28,20.65,35.45,0,13.7,11.26,0,0,3.81,1.84,0,86.04,4.57,1.66,67.63,5.65,7.54
120,0,0,0,0,53.85,850.83,0,1413.49,5.56,7.98,5.07,376.7,5.12,0,0,24.05,9.07,7.37,18.32,18.69,1.79,288.44,0,8.98,26.07,3334.67,19.15,53.04,55.3,19.84,2.67,25.41,0,0,1.47,0,0,172.69,0,10.72,44.58,25.68,6.93
