stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,83.5,687.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.12,276.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,12.86,0,5.12,0,0,0,132.32,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,251.3,3.38,0,0,46.85,0,3.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,87.78,0,227.84,0,31.65,0,708.51,0,0,0,0,0,11.5,0,0,0,0,0,5.32,0,0,0,0,0,3028.24,42.08,0,0,149.9,0,7.15,16.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24.97,136.17,16.49,0,125.91,0,0,0,36.41,11.48,0,11.7,0,0,0,0,4.3,4.54,151.75,0,0,62.01,988.39,0,5.27,1.85,2.16,0,0,0,10.85,0,33.9,17.63,315.05,0,0,0,0,3.23
 24-34,0,0,0,7.49,43.69,0.87,0,181.68,0,0.89,4.28,101.04,3.44,0,20.04,0,0,0,0,0,13.07,311.1,0,0.89,32.79,1799.85,4.47,0.77,3.91,0,0,4.92,0,0,0.93,2.74,5.88,534.92,0,0,1.27,0,31.6
 36-46,0,0,0,0,23.65,1.22,0,142.1,3.24,18.66,20.57,255.65,0.83,0,8.88,0,0,2.15,0,0.66,22.53,555.82,0.56,0.74,54.77,1488.26,1.48,0,10.66,0,0,10.04,0,0,0,0.56,0,539.76,0,0.85,11.84,0,16.2
 48-58,0.58,0,0,0,25.33,0,0,154.42,2.12,22.97,37.42,429.64,0,0,1.89,0,2.63,3.1,0.39,0,13.86,636.98,0,1.65,114.11,1323.53,0,0.42,14.32,0,0,3.57,0,2.72,1.64,0.4,0,510.29,0,1.28,17.17,0,68.04
 60-70,0,0,0,0,7.52,0,0,197.58,2.96,6.82,48.46,694.98,5.41,0,6.25,0,0.61,18.96,0,0,11.55,908.18,0,2.3,188.66,1349.87,0,2.06,9.75,0,0.96,8.9,0,0,2.35,0,0,457.47,0,5.18,14.58,5.4,71.38
 72-82,0,0,0,0,32.67,0.55,0,218.23,1.24,0,42.7,559.36,3.87,0,6.04,1.55,1.07,17.45,3.26,3.3,2.48,1010.08,0,21.44,188.31,1612.96,0,2.23,21.03,0,9.34,5.8,0,0,0,0,0,270.03,1.74,10.92,20.3,11.5,57.03
 84-94,0,0,0,0,42.01,4.93,0,247.55,2.11,3.94,42.89,389.84,2.78,0,0,0,1.29,33.9,0,1.81,7.27,970.37,0,10.09,121.49,1036.56,0,3.25,45.24,0,1.13,0,0,0,0,0,0,202.31,0.78,14.12,10.63,12.41,22.86
 96-106,0,0,1.11,0.72,51.26,0,0,218.69,4.62,0.97,26.88,357.39,2.88,0,8.78,3.65,4.61,30.63,1.38,9.55,5.77,792.88,2.62,10.61,142.12,928.93,1.43,3.84,39.66,0,2.93,14.31,0,0,2.85,0,0,61.05,0,7.23,17.39,28.66,35.35
108-118,0,0,1.03,0,22.44,0.64,0.5,183.15,5.38,0.45,28.37,381.04,1.28,0,2.63,2.41,0.97,59.78,1.26,0.86,17.83,881.98,0,4.27,104.5,1169.75,2.66,1.68,34.96,0,12.45,7.74,0,0,1.59,0,0,62.16,0.71,6.48,17.31,28.15,52.38
120,2.39,0,0,0,21.94,0,0,186.55,2.05,1.12,28.88,591.63,0,0,0,2.66,1.01,27.29,10.91,0,3.12,837.22,0,10.15,103.33,1229.27,0,0,44.08,0,5.29,0,0,0,9.58,0,0,96.33,0,4.12,49.12,64.13,10.23
