stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,6863,68304.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3537.81,0,0,0,0
  5-6,7886.57,27154.07,136.37,0,0,0,0,0,427.49,0,0,0,2275.89,163.78,0,360.29,335.31,0,0,0,0
  7-9,315.42,85.85,143.98,0,0,37.56,0,0,259.06,0,0,0,756.09,185.48,0,1009.75,0,106.19,0,0,0
 10-12,0,18.26,15.11,0,9.23,8.85,0,0,0,0,0,0,68.16,0,0,105.83,0,5.85,0,17.06,0
 14-21,0,0,0,6.01,0,0.86,0,3.26,0,0,4.61,0,3.76,0.88,0,0,0,0,0.85,0,2.52
 24-34,0,0,0,0,0,0,0,0,0,1.38,0,0.81,5.7,0,0.86,0,0,0,0,0,3.61
 36-46,0,0,0.56,0,0,1.37,0,0,0,0,1.43,0,7.76,0,0,0,0,0,0,0,1.32
 48-58,0,0,0,0,0,0,0.75,0,0,0,0.48,0,7.6,0,0.4,0,0,0,0,0,4.54
 60-70,0,0,0,0,0,5.02,0,0,0,0,0.67,0,8.84,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.71,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.58,0,2,1.8,0,0,0,1.19,0,4.73,0,0,0,0.97,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.37,0,0.96,0,0,0,0,0,0,0,0
108-118,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
