stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.22,413.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.69,462.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,4.06,0,0,12.98,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.27,0,0,0,0,0,15.95,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,245.86,33.62,0,0,19.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.73,15.91,29.74,11.21,0,26.6,0,0,0,53.97,0.99,0,5.67,0,0,0,1.86,1.19,0,47.35,0,0,16.94,1057.72,6.2,4.42,21.95,0,0,1.66,0,9.83,22.02,1.23,20.65,518.9,0,0,2.08,0,0
 24-34,0,0,1.9,10.53,61.4,6,0,89.88,0,0.78,1.79,142.47,0,0,17.56,0,0,0,33.31,1.74,0,233.41,0,3.24,52.43,3309.84,3.2,8.24,100.73,0,0,3.05,0,0,43.8,0,5.73,1117.77,0,0,17.48,0,0.86
 36-46,0,0,0.85,1.52,26.2,0,0,161.78,0,0,1.69,370.66,3.75,0,5.41,0,0,0,29.21,0,0.91,287.69,0,12.09,46.14,4348.6,0.7,11.44,74.45,0,1.78,12.37,0,1.05,29.39,0.62,0,1739.34,0,0,15.58,0,0
 48-58,0,0,0,0,28.22,0,0,568.35,0.53,3.23,10.22,633.56,0,0,3.93,3.25,0,1.04,23.64,8.61,0.41,316.85,3.5,11.51,39.28,3786.92,5.25,7.08,118.69,0,0.53,18.89,0,0,17.98,0,0,1706.85,0,0,11.51,0.78,0
 60-70,0,0,9.36,0,20.77,0,0,722.57,0,13.73,35.25,607.73,19.14,0,22.65,5.53,0.75,14.87,32.24,0,6.33,407.09,0,9.88,46.41,4220.49,0,1.03,123.17,0,0.84,6.63,0,0,11.34,0,0,963.98,0.77,0,18.84,0,0
 72-82,0,0,0.56,0,22.63,10.32,0,718.69,1.32,9.22,34.96,530.81,30.87,0,3.65,0,2.26,0,32.89,1.36,0,485.55,0,17.91,54.45,3676.3,0,5.7,121.23,0,0,9.77,0,0,22.7,0.79,0,490.79,2.57,3.06,38.22,4.29,16.95
 84-94,0,0,3.84,0,33.24,8.07,0,542.15,2.54,3.8,34.03,371.56,35.89,0,5.77,1.94,0.58,10.24,17.16,1.18,0,324.31,0,5.96,40.81,1943.89,0,7.09,146.22,0,0,7.22,0,0,41.15,0,0,313.64,0.71,5.91,27.08,6.26,0
 96-106,0,0,0,0,39.77,20.21,0,378.35,2.86,1.53,26.05,378.08,32.01,0,5.47,1.76,0.64,0,32.21,0,0,314.11,3.56,6.08,66.99,1646.88,5.36,1.54,198.59,0,3.04,6.77,0,0,28.73,0,0,117.34,0,2.1,32.81,3.49,15.39
108-118,0,0,0.72,0.74,33.98,4.04,1.14,324.71,0.89,1.52,48.34,337.08,27.14,0,2.59,1.38,1.33,5.88,29.65,0.87,0,309.58,1.55,8.91,19.86,2032.63,0,0.53,155.95,0,13.56,0.43,0,0,22.45,0.57,0,97.15,3.12,0,45.79,1.77,0
120,0,0,0,0,62.14,0,13,570.84,1.01,11.02,63.63,434.88,39.39,0,1.54,10.63,0,11.11,35.87,0,0,288.62,0,30.48,11.62,2609.55,1.62,0,155.78,0,0,4.16,0,0,42.17,1.22,0,68.07,0,0,26.19,37.53,0
