stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,428.09,11779.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.24,0,0,0,0,0,0,0,0,0,0
  5-6,740.36,7565.51,0,0,0,0,0,0,0,0,0,0,31.98,0,0,0,0,0,0,0,0,0,0,310.09,21.13,0,0,63.56,116.99,0,0,0,0,0,0,0,0,0,0
  7-9,145.48,178.42,199.07,0,0,0,560.77,0,0,0,0,0,254.79,0,0,0,0,0,0,0,0,0,0,5291.87,186.58,0,0,1702.41,12.06,36.61,0,0,0,0,0,0,0,0,0
 10-12,0,295.79,270.34,0,82.69,0,503.93,0,0,0,0,0,70.34,0,0,0,0,0,0,0,0,0,0,4588.4,62.4,0,0,1683.14,0,10.27,8.56,259.88,5.74,12.11,0,0,0,0,0
 14-21,0,0,13.58,100.04,28.85,0,35.62,0,0,0,15.2,4.94,0,0,0.94,1.84,0,0,0,48.56,0,0,46.53,835.21,21.8,0.94,5.88,42.05,9.97,0,115.56,7.58,59.14,221.53,0,0,0,0,0
 24-34,0,0,4.01,19.32,7.79,0,227.66,0,1.41,0.72,39.92,3.49,0,3.22,0,0,1.27,0,0,177.45,0,0.81,39.43,1739.74,18.22,7.39,6.95,0,12.42,0,1.91,3.01,6.48,370.67,0,0,29.25,0,1.64
 36-46,0,0,0.56,8.21,3.28,0,511.24,0,0,0.63,27.8,0,0,0.73,8.71,0,1.49,0,0,103.9,0,3.55,18.46,1195.33,2.17,5.9,2.2,0,9.34,0,0,4.74,0.6,261.47,0,0,11.2,0,0
 48-58,0,0,0,6.32,7.67,0,727.72,0,0.8,0.46,37.97,0.42,0,1.1,0.91,0,3.04,0.9,0.55,90.89,0.82,3.46,7.77,666.67,0,2.73,1.94,0,1.87,0,0,0.57,0,97.89,0,0,4.17,0,4.59
 60-70,0,0,0,27.5,2.83,0,460.63,0,0,0,20.24,0,0,0,1.44,0,2.01,1.12,8.32,89.65,0,3.32,8.7,262.98,2.09,0,1.12,0,0,0,0,0,0,17.39,0,0,2,0,0
 72-82,0,0,0,4.94,0,0,120.33,0.55,3.86,0,24.52,2.01,0,0,2.02,0,2.18,0,2.86,74.9,0,4,3.97,141.86,0,0.63,4.64,0,2.38,0,0,1.87,0,1.33,2.62,0,2.35,0,0
 84-94,0,0,0,4.25,0,0,163.32,0,0,0,16.05,2.2,0,0.8,5.72,1.2,2.81,0,4.71,60.54,0,5.65,12.88,144.76,0.76,1.96,4.69,0,1.32,0,0,0.56,0,1.86,0,0.58,10.64,0.91,0
 96-106,0,0,0,5.37,0,5.7,87.06,0,0,1.06,15.57,1.23,0,0.8,3.58,0,1.48,0,0,27.14,0,1.42,0.83,124.79,2.3,0,3.98,0,2.97,0,0,0,0,13.13,0,0.75,2.19,0,0
108-118,0,0,0,9.25,3.19,0,81.53,0,1.14,0,20.84,1.63,0,0.49,9.6,0,1.79,0,0,16.19,0,0,5.25,148.36,0,2.5,1.1,0,1.14,0,0,0,0,4.38,1.25,0,10.34,0,0
120,0,0,0,4.58,2.79,1.71,77.91,0,1.44,0,66.75,0,0,0,6.72,0,14.08,0,0,42.33,0,0,1.86,174.2,0,0,0,0,0,0,0,0,0,0,0,0,15.28,0,0
