stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,111.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48,6.68,0,0,22.84,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.78,0,33.48,0,5.83,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,1407.06,13.98,0,0,295.47,0,0,0,0,188.21,0,8.71,0,0,0,0,0,0
 14-21,0.93,15.01,0.8,41.18,6162.68,5117.18,0,117.14,0,10.14,0,4.03,66.85,33.22,184.42,157.19,77.88,0,0,0,2.7,692.13,27.02,0,309.2,780.21,28.21,6.67,44.53,28.62,0,803.31,0,103.11,44.97,15.14,139.8,138,0,0,2634.26,0,0
 24-34,0,1.67,2.86,1.65,335.5,339.68,0,57.26,1.2,16.31,9.92,6.82,4.12,3.25,110.98,202.26,97.64,0,16.85,0,7.92,172.63,20.26,0.81,69.66,896.56,6.04,17.11,17.05,0,0,186.51,0,0,0,2.05,20.83,102.21,0,0,5017.69,0,11.64
 36-46,0,0,0,0.6,166.49,42.4,0,100.34,4.42,11.89,13.93,10.76,3.78,1.52,121.05,292.11,25.18,7.92,6.36,0,7.71,203.59,12.99,10.52,45.56,1097.42,12.06,18.83,8.76,0,1.55,320.99,0,0,3.9,0,0,65.67,0,2.08,1818.26,0,0.98
 48-58,0,0,0,0,90.26,18.03,0,181.74,0,33.31,16.97,17.2,6.05,2.01,121.76,186.16,9.75,1.24,2.88,0.39,2.29,125.52,10.01,2.12,12.17,689.89,5.01,6.58,2.63,0,0,158.69,0,0,0.7,0,0,56.54,0,2.59,1047.75,0,9.85
 60-70,0,0,8.21,0,138.55,27.96,0,706.4,1.41,30.48,25.97,44.47,34.44,1.21,166.38,280.64,13.63,1.16,5.88,7.06,2.75,260.81,13.32,17.61,19.33,832.52,1.88,6.75,19.49,0,17.76,224.38,0,0,0.64,0,0,54.2,10.71,30.07,872.18,1.25,7.24
 72-82,0,0,18.04,0,98.18,17.74,0,1155.25,1.84,7.25,15.09,17.05,144.01,0,177.12,231.24,26.56,4.73,6.89,1.65,0.57,258.89,24.57,16.54,15.87,902.78,0,4.4,20.84,0,2.26,208.41,0,0,0.66,4.35,0,21.04,28.28,25.69,1410.94,6.36,6.42
 84-94,0.62,0,8.82,4.24,169.78,14.59,0,938.19,0,22.38,32.16,28.35,201.87,0,156.3,438.79,37.34,4.99,6,1.17,0.91,258.38,19.88,26.72,21.33,967.34,0,16.93,12.78,0,37.23,1279.5,0,0,3.92,0,0,30.73,153.25,24.99,1574.91,19.72,1.57
 96-106,0,0,18.09,5.57,401.27,70.08,1.09,1154.55,2.26,60.61,28.44,49.68,371.71,0,428.08,501.12,64.48,4.96,11.62,25.02,8.78,343.94,86.79,20.63,52.41,1078.31,1.57,11.16,21.91,0,66.81,1711.56,1.35,0,5.73,0.6,0,14.94,200.71,39.82,2346.24,18.39,17.22
108-118,4.46,0,23.16,17.05,599.54,34.78,25.69,1466.29,3.44,101.84,16.81,83.02,587.87,2.74,286.09,554.49,124.58,12.2,17.53,24.38,1.12,522.34,126.25,29.84,38.93,1809,5.3,17.29,33.13,0,61.29,2731.39,0,0,16.29,0,0,24.78,350.53,59.5,2349.51,29.41,8.51
120,0,0,1.22,0,217.82,53.02,1.71,952.62,0,57.85,16.96,38.28,301.82,15.61,228.56,409.96,26.43,2.11,11.28,9.29,3.2,327.76,48.82,11.14,45.21,1866.57,3.48,13.49,12.51,0,38.64,920.92,0,0,16.37,0,0,1.91,104.15,40.97,1972.08,18,15.11
