stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,taste,vasculature
  3-4,0,48.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.64,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0
 10-12,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,59.32,0,0,0,0,0,0,0,0
 14-21,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0.95,0,0
 24-34,0,0,25.7,0,0.65,0.71,0,0,0,0.68,0,0,1.37,0,0,7.12,0,0,0,2.75,0,0,0,0
 36-46,0,0,8.23,0,0,0,0,0,0,0.79,0,0,0,0.93,0,1.58,0,0,0,0,0,0,0,1.61
 48-58,0,0,31.46,0,0.61,5.35,1.83,0,0,1.01,6.68,0,0,0,0.37,5.5,0,0,0,0,0,0,0,0
 60-70,0,0,36.19,0,0,11.36,0,0,0,1.71,0,0,1.26,0.67,0,13.35,0,0,0,0,0,0,0,1.11
 72-82,0,0,34.03,0,0.54,3.36,0,0,0.7,8.53,2.24,0,3.13,2.44,0.73,1.16,0,0,0,0,0,0,0,0
 84-94,0,0,74.53,0,0,7.78,0.88,1.25,0,5.65,4.55,0.62,0,0,0.85,9.63,0,2.37,0,0,0,0,0,1.93
 96-106,0,0,57.19,0,4.5,10.61,0,1.71,0.73,7.53,6.82,0,0,4.94,1.24,3.17,1.47,0,0,0.63,0,0,0.87,2.78
108-118,0,0,84.87,0.82,10.14,14.82,0,2.55,0,17.13,4.34,0,0,2.44,0.47,5.75,0.54,0.52,0,1.42,0.62,0,2.3,1.7
120,0,0,108.81,0,0,8.01,1.78,1.36,0,16.52,6.56,0,0,16.07,1.16,2.73,0,0,0,4.24,0,0,0,0
