stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,445.98,5654.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.01,0,0,0,0,0,0,0,0,0,0,0
  5-6,257.22,3994.97,0,0,0,0,0,0,0,0,0,0,0,27.18,0,0,0,0,0,0,0,0,0,0,0,239.8,7.94,0,0,49.74,0,99.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,178.76,52.22,0,193.84,0,0,0,338.39,0,0,0,0,0,687.27,0,0,0,0,0,0,0,0,0,0,0,2511.14,182.22,0,0,945.08,0,59.94,69.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,113.25,0,257.55,0,51.65,0,233.69,0,0,0,0,0,255.45,0,0,0,0,0,0,0,0,0,0,0,3016.08,307.82,0,0,1052.44,0,59.42,87.37,4.75,111.15,0,21.45,0,0,0,0,0,0
 14-21,0,0,4.59,9.43,350.57,61.65,0,392.47,0,4.41,0,24.37,17.89,3.6,5.06,1.32,9.59,0,0.92,1.84,5.1,123.85,1.72,0,89.79,1071.28,195.33,12.58,9.98,25.26,0,260.62,8.59,88.68,13.79,20.06,127.33,409.44,0,0,16.03,0,8.13
 24-34,0,0,0,7.81,127.17,9.54,0,223.09,0,8.72,0.71,35.75,2.68,4.49,10.31,0.98,13.19,0,1.81,0.86,27.65,274.81,13.63,5.28,145.79,1618.39,67.35,5.95,15.19,0,0,207.17,0.86,3.08,5.02,3.06,27.95,405.53,0,0,96.99,0,14.92
 36-46,0,0,0,0,65.54,21.42,0,523.28,2.93,20.37,13.18,86.48,0,0,6.25,15.04,10.22,8.58,2.48,5.5,27.55,346.74,11.45,4.78,112.33,1498.73,49.91,4.36,24.78,0,2.1,192.28,4.82,1.82,28.96,1.14,0,420.81,0,0,72.05,0,32.49
 48-58,1.15,0,1,0,40.6,2.88,0,1129.5,2.21,8.95,22.55,168.14,1.13,0.37,6.61,9.27,2.46,7.32,5.05,6.19,22.73,512.51,8.44,11.93,88.93,1255.77,23.48,2.27,7.71,0,1.51,129.5,0,0,4.84,4.52,0,313.36,0,2.3,49.31,0,66.27
 60-70,0,0,0,0,53.35,3.64,0,1076.86,8.03,15.95,22.31,147.12,4.8,0,15.67,2.65,6.38,6.37,5.91,1.2,9.19,658.54,4.3,10.94,53.75,919.05,20.23,4.58,28.27,0,2.03,115.95,0,0,1.78,5.37,0,192.27,1.62,11.53,29.07,1.6,37.51
 72-82,0,0,2.79,0,36.36,23.54,0,888.77,4.79,9.78,30.18,154.93,11.77,0,5.4,14.76,1.24,10.01,4.06,0.5,5.1,734.53,11.16,23.26,66.84,784.87,7.36,10.05,13.92,0,4.13,52.37,0,0,3,0.79,0,72.44,2.12,5.57,67.39,12,7.46
 84-94,0,0,0,0,77.65,20.32,0.6,534.51,0,14.49,22.68,114.09,14.55,0,1.16,15,7.7,9.39,2.95,1.9,10.72,604.91,20.25,11.54,45.82,520.89,14.08,4.91,18.38,0,4.92,203.1,0,0,6.79,0,0,37.89,5.04,11.11,57.46,12.86,7.92
 96-106,0,0,1.42,0,60.49,41.97,0,437.87,3.19,11.36,26.23,113.6,21.43,0,14.74,11.88,7.17,14.9,6.25,15.02,3.95,528.31,16.42,23.35,43.31,565.54,8.79,16.11,24.02,0,7.63,152.12,1.06,0,5.61,0,0,27.07,3.01,10.02,52.06,23.88,13.39
108-118,0,0,1.48,0.98,85.5,22.93,2.55,437.08,0.5,19.02,14.23,122.05,18.15,0,0.61,7.52,11.4,21.54,16.91,4.05,9.52,487.6,12.57,12.02,24.57,532.22,13.22,0.95,15.94,0,8.16,168.52,1.42,0,3.96,1.81,0,24.3,6.82,7.86,40.28,10.33,2.88
120,0,0,0,1.66,88.28,5.89,0,288.63,0,13.99,19.15,161.94,18.5,0,8.09,19.76,4.83,5.33,24.19,4.5,0,350.21,1.32,27.6,39.75,875.14,10.5,1.11,20.01,0,21.58,128.33,0,0,3.18,0,0,15.29,3.81,24.3,85.92,14.77,21.97
