stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,112.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,118.76,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,35.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,1142.82,17.43,0,17.88,0,0,0,183.07,0,0,0,0,0,72.72,0,0,0,0,0,0,0,0,0,0,0,573.94,1184.21,0,0,286.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,63.4,0,34.28,0,0,0,457.9,0,0,0,0,0,10.66,0,0,0,0,0,0,0,0,0,0,0,2484.33,1290.12,0,0,486.57,0,0,0,0,13.53,0,25.05,0,0,0,0,0,0
 14-21,0,0,8.42,3,172.57,17.06,0,48.59,0,5.78,0,73.75,10.58,0,3.21,0,0,0,0,2.77,0,127.28,0,0,82.53,3467.09,1043.1,0,233.31,24.94,0,5.06,0,262.9,3.86,35.47,276.57,873.95,0,0,1.75,0,0
 24-34,0,0,7.29,0.59,56.41,1.84,0,56.78,0,8.96,0,121.56,0.63,0,19.96,0,1.73,0,1.32,0,0,243.8,0,0,70.05,5770.65,67.1,4.09,29.7,0,0,2.94,0,0,4.79,12.66,37.15,1391.5,0,0,9.63,0,0
 36-46,0,0,6.56,0,42.41,0,0,41.36,0,3.54,2.89,352.27,1.44,0,15.38,0,0,0,0.95,4.23,32.16,424.3,0,0.77,46.85,5702.84,34.35,2.4,33.16,0,2.85,24.64,0,0,0,11.29,0,1408.08,0,2.21,15.87,0,9.74
 48-58,0,0,2.8,0,38.47,0,0,142.25,0.74,6.95,4.9,426.55,1.36,0,6.73,0,0,0,1.42,0,12.07,599.3,0,3.23,57.8,2794.79,21.86,0.86,21.93,0,1.01,3.12,0,0,0.62,1.86,0,748.09,0,0,12.32,0,14.58
 60-70,0,0,1.52,0,23.63,0,0,77.39,3.28,11.84,4.67,385.86,0,0,6.77,0,0,3.66,0.61,5.16,1.05,805.74,0,23.48,36.55,1637.13,11.68,0,29.67,0.81,3.63,5.42,0,0,0,0,0,254.91,0,15.35,5.57,0.73,0
 72-82,0,0,6.07,0.56,29.51,4.03,0,101.34,1.78,7.5,4.48,453.93,1.14,0,7.05,0,2.43,3.53,1.69,10.92,0,961.12,0,22.27,57.09,1620.2,4.97,1.98,45.76,0,5.05,1.69,1.65,0,0,8.92,0,142.97,0.56,21.57,18,13.55,0
 84-94,0,0,5.99,0,45.97,0.72,0,123.59,3.46,13.33,3.95,233.33,2.39,0,5.23,1.52,1.72,0,0.81,0.64,11.79,707.68,0,26.79,34.96,941.83,16,3.87,52.9,0,1.53,1.82,0,0,1.45,0,0,89.37,15.33,25.89,26.14,6.45,0
 96-106,0,0,2.56,0,39.11,21.55,0.97,83.57,1.42,2.74,2.8,248.47,0.62,0,11.82,0.66,1.41,1.95,5.41,4.56,0.65,556.64,1.05,24.28,31.73,818.21,5.4,4.05,38.24,0,5.64,11.12,2.06,0,2.77,1.58,0,59.18,53.86,12.65,26.44,2.13,0.73
108-118,3.02,0,4.22,0,55.94,2.03,6.58,85.78,1.4,8.48,3.07,248.25,3.27,0,2.75,9.35,2.21,3.12,6.88,7.97,1.13,781.81,7.41,25.9,26.93,993.05,15.95,3.7,55.98,0,13.89,12.89,0,0,0.62,1.09,0,45,71.22,36.14,34.41,18.38,0
120,0,0,5.08,0,28.78,0,0,88.16,16.04,2.58,6.63,482.99,1.09,0,5.64,9.1,0,0,4.13,0,0,728.36,0,55,41.79,1342.46,9.86,4,61.57,19.84,1.79,3.74,0,0,0,1.64,0,36.22,40.07,29.62,34.14,7.11,8.31
