stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,0,26.71,0,0,12.78,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,67.35,0,0,0,7.55,0,8.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,193.51,100.33,0,2168.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.3,0,0,0,149.55,0,0,22.22,0,5453.46,0,5.3,0,0,0,0,0,0
 14-21,0,80.68,1.64,64.32,18293.26,4.8,0,0,0,2.51,89.5,0,45.23,4.89,0,0,0,116.3,0,0,817.71,217.6,2.11,0,0,12.63,0,10.21,0,62.71,2.47,13.68,96.02,51.96,0,0,1847.34,0,0
 24-34,0,1.67,1.57,33.22,1620.94,6.97,0.91,0,0,0,5.21,0,79.08,4.3,2.23,0,5.19,55.72,31.81,0,16.02,195.34,0.72,1.38,0.67,0,0,12.42,0,0,4.12,0,91.42,14.97,0,0,4876.4,0,1.76
 36-46,0,0,0,70.32,374.14,8.26,0,2.38,0.87,2.46,0,0,30.99,18.37,0,0,0,34.23,0,2.1,7.12,56.34,1.4,0,0.58,0,0,14.01,0,0,0.67,0,0,5.96,0,0,2122.24,0,1.23
 48-58,0,0,0,50.46,77.26,16.54,0,17.15,0,2.72,0,0,47.81,3,0,0.44,0,15.53,1.11,3.03,2.22,82.2,0,0.38,0.69,0,0,4.66,0,0,0,0,0,6.76,0,0,1359.42,0,0
 60-70,7.57,0,0,29.88,31.77,6.86,0,6,0.84,0.59,0,0,33.12,1.29,0,0,0,11.7,0.84,0,0,16.02,0,0,0,0,0.97,13.21,0,0,0,0,0,7.53,0,0,928.77,0,2.96
 72-82,0,0,0,29.38,19.46,16.95,0,13.55,2.03,2.95,5.79,0,53.73,2.97,0.6,0,0,19.77,0,0.55,3.7,37.51,0,0,2.86,0,0,4.68,0,0,0,0,0,0.92,1.51,0.87,1694.41,2.4,2.33
 84-94,1.85,0,0,49.86,3.82,12.34,0,13.17,0.77,3.81,2.67,0,21.82,4.06,1.84,0,0,11.65,0,0.65,0,16.64,0,0,0,0,0,17.36,0,0,0,0,0,0,3.52,1.13,1481.96,0.71,0
 96-106,0,0,0,81.04,16.15,26.95,1.21,7.97,2.05,6.57,2.17,0,37.41,11.06,5.6,0,0.97,24.52,1.13,1.11,0,37.41,0,0.81,1.06,0,0,16.01,0,0,3.05,0,0,2.82,4.86,3.27,1724.69,2.65,0
108-118,1.23,0,0,73.34,0,24.52,0,8.92,0,5.87,2.85,0,22.88,7.15,7.11,0,0,18.74,2.28,0.46,0,13.12,0.55,0.6,0,0,0,23.26,0,0,4.71,0,0,0,1.12,0,1364.99,3.57,14.37
120,0,0,0,56.28,21.63,0,0,14.43,0,9.34,4.3,26.01,32.96,5.71,17.87,0,0,17.99,0,0,0,30.55,2.37,3.45,0,0,0,24.57,0,0,0,0,0,0,0,0,1653.87,0,0
