stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,121.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,180.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.34,0,0,0,0,0,19.9,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0,0,0,210.67,0,0,0,18.04,0,7.62,0,0,0,0,0,0,0,0,0
 10-12,0,6.35,0,24.38,0,0,0,0,0,0,0,0,24.37,0,0,0,0,0,0,0,0,0,0,0,154.65,4.06,0,0,29.37,0,3.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.27,145.5,0.83,0.88,0,3.21,0,1.94,0,0,0,0,0,0,0,0,0,1.06,0.82,0,3.89,41.3,0,2.19,8.82,0,0.88,0.91,0,0,1.95,10.08,0,0,0,0,0
 24-34,0,0,0,0.59,80.3,0,4.8,0,17.08,0,0,0,0,0,0,0,0,4.43,4.59,0,10.6,0,0,21.88,27.54,0.63,1.32,9.66,0,0,0,1.32,10.79,1.59,8.3,0,0,0,0,0
 36-46,0,0,0,0,100.7,0,4.15,0,25.07,0,0,0,0,1.51,0,0,0,0.77,0,0,20.23,1.66,0,10.71,24.29,2.68,4.69,3.69,0,0,0.81,0,5.61,0,12.8,0,0,1.82,0,0
 48-58,0,0,0,0,105.47,0,2.25,0,18.35,0.41,3.19,0,0,0,0.85,0,0,1.31,0.86,0,26.44,0.52,2.05,4.63,23.8,2.65,1.44,5.49,0,1.3,0,0,0,0,6.75,0,0,0.49,0,1.24
 60-70,0,0,0,0,98.54,0,11.56,0,54.26,1.21,2.44,0.68,0,0,0,12.81,0,1.54,0,0,31.39,0,0,3.32,10.47,8.16,0,9.34,0,0,0,4.44,0,0,3.2,0,0.6,1.24,0,0
 72-82,0,0,0,0,69.75,0,8.58,1.33,23.39,0.64,1.37,4.1,0,1.06,0.55,5.89,0,2.35,0.54,2.16,35.39,5.11,0,1.77,22.38,0.58,1.56,4.32,0,0,0,0,0,0,2.86,0.88,0.75,7.15,0,0
 84-94,0,0,0,0,119.02,0,2.67,0,54.48,0.83,0,2.6,0.91,0,0,2.47,0,0,0,0,37.19,2.7,0,1.98,10.1,8.48,0,3.06,0,0,0,3.45,0,0,1.04,2.29,0,6.16,0,0
 96-106,0,0,0,0,136.44,6.79,10.94,0,32.98,0,0,4.18,0,0.78,0,3.2,0,3.74,0,0,30.74,0.74,0,0.87,19.85,1.9,2.91,6.08,0,2.46,0,0,0,0,0,0,1.15,2.38,2.58,0
108-118,0,0,4.02,0,182.16,0,7.31,0,73.03,2.32,6.04,12.5,0,0,0.59,0.72,0.77,2.04,3.11,0,46.04,2.81,2.12,3.69,17.04,4.77,2.23,4.5,0,0,0,0,0,0,3.32,1.53,0,1.99,0.63,1.02
120,0,0,0,0,229.06,1.49,0,9.05,37.53,0,12.79,25.01,0,0,0,1.17,0,1.84,3.29,0,72.45,4.52,0,1.98,53.64,9.27,3.34,0,0,0,0,0,0,0,0,1.64,0,11.89,0,0
