stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,472.2,2309.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
  5-6,1547.8,6716.65,0,117.02,0,0,0,0,0,0,0,0,0,77.94,0,0,0,0,0,0,0,0,0,0,0,2318.95,10.72,0,0,551.14,0,25.77,0,0,0,0,0,0,0,0,0,0,0
  7-9,1020.99,292.44,0,5213.22,0,5.95,0,459.51,0,0,0,0,0,593.1,0,0,0,0,0,0,0,0,0,0,0,5363.06,801.16,0,0,8040.13,0,4.15,18.13,0,0,0,0,0,0,0,0,0,0
 10-12,16.22,395.15,0,2019.48,0,92.86,0,1234.57,0,0,0,0,0,17.65,0,0,0,0,0,14.93,0,0,0,0,11.62,12241.72,662.87,0,0,3004.14,0,0,8.88,17.83,1361.03,0,61.07,0,0,0,0,0,0
 14-21,0,3.91,3.73,16.5,1077.3,849.85,0,1092.57,0,0.95,0,94.69,36.71,9.46,26.76,0,2.19,0,2.41,0,0.86,619.85,0,0,1490.97,6170.84,177.66,13.16,140.65,306.49,0,5.05,0.86,482.03,215.57,648.45,3558.3,1193.14,0,0,107.56,0,0
 24-34,5.78,0,3.63,2.26,224.81,52.81,0,432.29,0.62,3.68,16.61,62.62,1.7,2.27,34.07,0,1.69,0.92,9.2,4.52,1.41,876.47,1.24,0,540.8,6278.75,21.47,31.61,31.01,0,0,77.26,0,2.95,4.59,73.16,428.75,1331.34,0,0,225.25,0,8.88
 36-46,1.6,0,0,0.56,98.95,1.63,0,178.15,1.9,0,22.47,70.91,0,0.7,27.15,0,0,2.09,4.43,3.12,0,1265.76,3.11,2.44,365.32,6206.39,24.76,8.71,21.93,0,4.12,90.63,0,1.63,6.58,3.63,2.74,1373.49,0,2.21,104.59,0,0.97
 48-58,0,0,2.08,0,105.97,2.12,0,540.74,3.76,10.41,28.46,187.81,0.4,2.39,41.83,8.01,3.34,9.89,0,1.55,2.47,1558.25,0,11.18,230.82,5987.77,13.88,5.17,40.39,0,4.48,13.96,0,0,1.22,8.61,0,957.21,0,0.89,104.22,0,16.93
 60-70,0,0,2.35,5.18,36.63,3.52,0,680.02,5.67,5.31,26.61,108.57,0,0,29.83,4.5,2.68,2.47,0,5.55,1.77,1435.64,0,17.98,125.36,4835.72,3.11,4.82,30.6,0,7.21,7.32,0,0,1.25,0.65,0,504.22,0,5.11,66.58,2.07,7.89
 72-82,0,0,0.86,0,49.68,6.66,0,569.49,2.37,0.85,30.11,143.49,0.56,0.52,51.5,4.15,9.12,9.01,0.61,2.92,18.87,1658.29,0,37.04,92.52,4322.25,0,2.24,43.19,1.13,8.02,13.57,0,0,9.29,7.94,0,349.65,4.07,14.41,172.21,6.96,0
 84-94,0,0,3.79,0,78.44,8.89,0,463.31,0,3.92,23.29,129.77,3.29,1.69,20.02,1.24,3.41,18.09,0,8.13,0,1231.88,0,34.36,63.67,2657.57,0.62,2.29,25.48,0,12.3,6.63,0,0,0.74,1.01,0,333.97,6.02,14.63,160.56,1.2,0
 96-106,0,0,4.25,0,87.29,25.1,0,368.15,8.59,3.35,20.93,119.23,3.32,2.12,43.7,2.28,7.73,18.21,0,13.73,2.56,953.07,0,26.44,51.75,2488.75,3.44,10.95,48.91,1.2,32.19,9.2,0,0,2.04,0,0,174.46,6.71,21.2,144.32,21.05,1.07
108-118,0.5,0,1.56,0,75.61,9.24,6.17,527.48,0.88,4.53,38.31,117.57,3.96,0,16.51,3.01,14.49,54.32,1.8,7.82,12.35,1055.66,0,36.33,57.06,2681.67,0,7.79,62.92,0,32.86,9.42,0,0,2.58,0,0,101.66,9.07,15.12,120.08,25.27,11.35
120,0,0,0,0,67.28,6.29,0,398.74,1.14,3.14,8.58,222.27,0,0,27,2.83,10.47,51.35,3.15,14.37,0,905.04,1.65,39.7,33.39,3365.86,0,1.02,44.42,0,70.84,13.76,0,0,0,0,0,135.07,2.2,10.62,100.55,46.51,0
