stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.03,1590.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.61,0,0,0,0,0,0,0,0,0,0,0
  5-6,101.21,815.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.94,0,0,0,12.41,0,28.45,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.34,14.04,0,25.11,0,0,0,19.51,0,0,0,0,0,15.12,0,0,0,0,0,0,0,0,0,0,0,336.5,0,0,0,90.21,0,6.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.78,0,64.03,0,0,0,34.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.06,45.88,0,0,290.34,0,0,11.36,0,65.54,0,0,0,0,0,0,0,0
 14-21,0,1.36,0.82,6.77,63.87,10.69,0,11.79,0,1.75,0,2.58,6.35,0,1.22,1.04,3.99,0,0,15.36,2.3,26.18,0,0,21.38,201.29,10.79,4.95,1.8,9.52,0,0,0,36.9,6.15,1.32,30.49,85.53,0,0,14.82,0,1.92
 24-34,0.88,0,4.6,3.3,40.88,8.48,0,83.48,0,13.49,9.16,34.88,4.28,0,10.11,8.54,17.52,4.26,2.82,12.3,26.66,104.02,1.61,0.91,64.21,1024.78,6.88,30.01,2.07,0,0,16.11,0,0,22.98,0.91,20.79,246.17,0,0,118.72,0,20.79
 36-46,0,0,0,0,36.73,31.52,0,181.77,0,4.33,11.36,63.46,0,0,3.2,27.44,7.69,3.16,5.34,0,37.5,160.18,3.37,2.36,48.59,969.32,8.14,41.26,8.74,0,0,53.05,0,4.29,24.68,0,0,276.23,0,0,24.64,0,33.3
 48-58,0,0,0.54,1.75,38.17,10.9,0,304.86,0.68,15.21,26.83,141.47,0.91,6.15,4.1,28.41,2.8,2.84,4.99,3.46,22.05,267.59,2.59,7.51,45.65,1018.38,2.15,37.61,8.68,0,0.56,37.27,0,0,6.66,0.46,0,288.6,0,0.51,26.6,1.28,66.63
 60-70,0,0,1.1,0,23.79,7.23,0,549.81,1.86,3.85,30.96,144.22,2.09,2.33,2.66,47.17,19.99,11.31,12.96,0,5.16,244.1,5.48,7.68,38.94,794.29,3.61,29.08,1.21,0,3.54,24.95,0,0,6.99,0,0,186.85,1.72,4.34,22.07,1.13,68.08
 72-82,0,0,6.49,0,22.2,6.53,0,481.22,1.65,3.31,20.93,130.82,10.09,0,3.32,88.92,10.71,20.53,6.38,0,3.68,315.98,18.42,11.59,31.83,725.11,5.15,42.86,13.27,0,3.27,23.05,0,0,14.83,0,0,112.49,2.21,5.77,36.57,21.58,36.87
 84-94,0,0,9.21,0,62.78,10.77,0,376.84,0,10.54,24,127.7,13.42,3.75,8.52,96.97,24.51,10.77,2.9,5.43,6.1,267.48,5.07,23.88,14.64,559.11,0,49.25,16.44,0,1.69,83.2,0,0,25.96,1.27,0,60.43,7.36,5.98,47.19,11.97,18.48
 96-106,0,0,8.83,1.03,57.58,35.42,3.61,371.59,0,14.52,11.61,190.36,23.16,1.32,3.07,93.45,20.85,11.98,12.3,7.38,5.35,327.62,8.06,12.62,46.95,587.33,2.42,72.03,16.49,0,13.47,92.43,3.82,0,7.74,0,0,49.97,20.81,4.94,56.39,7.77,37.35
108-118,0,0,3.44,0.74,52.09,8.61,2.05,360.25,0.51,17.78,25.85,136.7,53.72,0,2.45,94.73,19,22.2,2.09,10.92,17.7,354.62,9.2,12.65,28.68,631.19,5.61,46.96,21.05,0,13.05,60.24,0,0,10.67,0.43,0,32.73,16.85,3.99,51.01,16.45,40.88
120,0,0,8.38,0,109.81,24.55,1.91,227.66,0,15.39,10.77,198.7,73.65,0,0,201.66,22.87,8.34,13.17,26.76,10.57,307.52,25.84,20.49,34.5,755.21,9.09,65.45,21.63,0,18.27,58.3,0,0,35.18,0,0,56.52,8.21,4.25,88.83,33.78,33.59
