stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,39.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.32,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,7.03,0,0,0,11.37,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.87,6.27,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.14,0,0,0,99.46,0,0,0,10.15,0,0,0,0,0,0,0,0
 14-21,0,0,5.41,5.15,2.15,0,0,0,0,0,0,0,0,0,0,0,23.43,0,19.74,50.65,0,1.04,0.9,9.19,0,0,8.7,0,3.23,16.48,32.59,0,0,0,0,0
 24-34,0,0,2.31,4.78,253.64,0,0,3.07,0,0,0,0,0,0,0,1.58,5.36,0,13.12,57.35,0,0.69,0,0,0,0,0,0.64,0,2.06,19.76,0,0,23.53,0,0
 36-46,0,0,0,0,1057.09,0,0,0.57,6.58,0,0,1.77,0,0,0,0,15.84,0,5.32,103.34,1.62,1.95,0.83,0,0,3.84,0,0,0,0,35.02,0,0,6.14,0,0
 48-58,0,0,0,0,616.69,0,0,6.82,2.51,0,0,0.67,0,0,0,0,4.96,0,3.68,95.05,0,0,0,0,0,0,0,0,0,0,17.84,0,0,0.93,0,11.73
 60-70,0,0,0,0,985.2,0,0,3.49,5.22,0,0,0,0,0,0,0,7.11,0,0.61,60.4,0,0,3.55,0,0,0,0,0,0,0,2.74,0,0.99,0,0,6.09
 72-82,0,0,8.06,7.24,702.1,0,0,3.57,0,0,0,0,0,0,0,0,12.48,1.14,3.63,38.88,0,0,0,0,0,0.49,0,0,0,0,1.51,0,0,0,0,9.04
 84-94,0,0,0.89,0,984.4,0,0.59,3.74,0.69,1.01,0,0,3.33,0,0,2.07,29.34,0,5.7,15.75,0,0,1.85,0,0,0.63,0,0,0,0,1.89,0,0,0,0,9.61
 96-106,0,0,0,0.59,685.56,1.33,0.76,0.93,5.33,0,0,0,0,0,0.71,0,14.48,0,1.95,60.84,0,0.68,6.14,0,0,0,0,0,0,0,1.19,0,0,1.75,0,10.49
108-118,0,0,0,2.21,1341.76,0,0,2.06,2.75,0.64,0,0,0.72,0,0,0,25.35,0,8.85,41.93,0,0.42,0,0,1.35,3.61,0,0,0,0,5.94,2.48,0,1.9,2.47,2.73
120,0,0,0,0,900.93,0,0,0,0,0,0,0,0,1.45,0,1.45,13.8,0,3.16,145.89,0,0,4.36,0,0,1.77,0,0,0,0,0,0,0,4.18,0,10.39
