stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,164.65,2511.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.75,0,0,0,0,0,0,0,0,0,0,0
  5-6,346.08,6034.23,0,20.35,0,0,0,0,0,0,0,0,0,48.32,0,0,0,0,0,0,0,0,0,0,0,369.89,43.53,0,0,90.26,0,64.6,0,0,0,0,0,0,0,0,0,0,0
  7-9,391.24,232.86,0,563.8,0,0,0,979.79,0,0,0,0,0,456.99,0,0,0,0,0,0,0,0,0,0,0,8123.35,506.69,0,0,3076.97,0,48.63,26.5,0,9.82,0,0,0,0,0,0,0,0
 10-12,3.8,296.79,0,631.8,0,73.66,0,802.86,0,0,0,0,0,226.87,0,0,0,0,0,3.73,0,0,0,0,0,8577.02,424.21,0,0,2990.34,0,23.88,26.86,20.87,445.88,0,40.81,20.49,0,0,0,0,0
 14-21,1.39,5.42,19.81,128.83,2328.79,436.87,0,433.9,0,29.04,0,160.81,131.27,33.82,22.44,11.12,80.51,0,4.75,13.15,16.93,691.97,9.07,0,604.5,5068.72,309.88,67.35,173.69,249.76,0,236.42,11.08,962.59,130.26,282.3,1590.19,2087.58,0,0,139.03,0,27.85
 24-34,0,0,12.46,31.5,960.54,36.99,0,688.18,10.51,126.32,11.24,220.35,19.47,1.41,56.13,58.41,58.3,7.04,63.47,16.43,70.57,1086.81,19.81,4.18,576.11,7858.62,119.5,197.94,111.77,0,4.11,432.04,0.86,4.34,63.52,50.26,276.5,2260.28,0,0,642.85,0,72.93
 36-46,0,0,5.63,4.75,502.67,18.17,0,1436.44,2.43,136.51,60.87,413.82,16.8,0,77.82,83.66,32.44,11.33,39.3,20.62,58.39,1372.87,19.76,30.48,454.46,9884.93,102.41,168.1,103.62,0,4.85,551.11,3.3,0.86,27.38,14.97,3.56,2488.14,0,9.88,444.61,2.33,118.52
 48-58,0.58,0,4.52,1.33,391.92,7.55,0,2773.91,7.25,153.29,87.66,940.58,14.13,55.13,56.39,104.47,19.08,15.28,42.63,3.36,57.68,1757.69,28.54,60.79,318.6,9135.09,70.02,117.85,72.27,13.96,6.51,465.51,0.65,0,20.76,10.52,0,2388.96,0,11.46,306.12,4.21,178.33
 60-70,0,0,4.48,0,410.13,2.91,0,4621.25,15.73,134.95,62.2,1150.75,25.82,38.17,57.66,139.8,25.15,34.66,41.9,8.59,36.77,2058.23,10.93,92.18,217.97,6455.28,44.11,128.66,77.34,0.81,25.33,336.51,0,0,13.93,3.17,0,1486.54,6.58,74.08,205.38,34.76,170.85
 72-82,0,0,24.42,1.65,452.79,6.86,3.09,4616.95,17.38,139.04,89.83,1404.78,68.67,9.68,48.99,150.63,34.93,38.81,83.42,31.77,17.39,2658.96,33.79,142.19,286.64,5785.88,30.28,165.62,96.79,0,29.99,316.4,0,0,12.74,5.25,0,909.42,37.61,121.01,463.01,124.33,203.27
 84-94,0,0,27.99,4.23,783.29,14.09,5.4,3224.6,14.22,219.1,87.19,1050.82,112.59,11.29,59.63,177.29,53.36,43.91,89.86,17.72,42.17,2236.96,31.19,159.31,249.39,3805.66,50.19,165.18,119.39,0,30.64,941.22,1.4,0,54.32,1.5,0,576.32,72.22,119.41,491.37,147.8,115.92
 96-106,0,0,23.26,4.38,992.53,89.48,7.4,2791.94,49.77,261.43,126.84,1235.69,167.26,2.38,98.22,240.47,72.5,54.01,127.05,61.45,24.42,2408.09,63.12,141.31,257.86,3389.37,40.55,286.4,170.24,1.2,82.12,981.74,2.75,0,47.46,3.79,0,384.06,110.65,119.26,599.6,161.27,193.28
108-118,1.06,0,26.3,7.57,907.41,33.67,9.62,2511.78,19.69,292.11,104.03,1322.38,187.19,0,59.9,207.92,90.36,74.65,108.98,53.78,19.92,2675.48,49.41,176.36,246.19,3919.56,43.91,194.02,155.52,0,122.41,782.94,0,0,26.01,1.88,0,211.56,130.59,96.76,485.49,136.07,135.79
120,2.31,0,9.06,1.28,586.36,9.81,4.78,1552.94,11.39,177.97,88.96,1092.27,144.21,0,51.57,312.04,39.64,60.39,49.28,22.51,10.42,1802.57,42.44,109.91,203.12,3572.25,75.13,136.65,123.97,0,138.92,625.55,2.5,0,25.11,3.95,0,172.4,31.99,70.98,431.28,132.3,42.17
