stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,410.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,58.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.65,0,0,0,0,0,0,0,0,0,0,0,0,31.93,0,0,0,0,0,0,0,0,0,0,0,31.67,29.83,0,0,15.57,0,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,16.3,0,0,0,0,0,56.72,0,0,0,0,0,0,0,0,0,0,0,51.04,58.01,0,0,14.33,0,0,0,6.12,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,9.65,12.86,0,0.92,0,0,0,2.21,0,0,0,0,0,0,0,0,0,1.23,0,0,0,11.77,12.03,1.84,0,0,4.77,1.31,2.19,5.72,0,9.2,9.13,0,0,5.22,0,0
 24-34,0,0,0.8,0,3.11,0,0,2.7,0,0.63,0,0,0,0,0.67,0,0.93,0,0,0.66,0,3.2,0.7,0,8.12,36.1,22.79,2.41,0,0,23.66,0,0,15.72,0.78,0.67,7.32,0,0,8.45,0,0
 36-46,0,0,0,0,2.08,0,0,0.84,0,0,0.88,2.86,2.82,0,0,1.86,0.61,1.36,0,0,1.51,17.38,5.63,0,4.4,62.35,15.26,2.28,0.58,0,27.7,0,0,14.7,0,0,11.47,0,0,9.08,0,0
 48-58,0,0,0,0,0.44,0,0,12.06,1.1,0,0.42,3.7,0,0,0,0.42,0,0,0.41,6.3,0.48,9.07,0.65,0.39,1.16,43.67,28.32,3.39,2.85,0,16.13,0,0,12.04,0,0,3.82,0,0,4.84,0,1.31
 60-70,0,0,0,0,2.96,0,0,20.73,0,1.83,0,9.42,0.62,0,0,2.97,0.58,0,0,0,0,31.15,1.43,0,0.85,45.86,28.17,4.67,1.16,0,24.49,0,0,0.83,0,0,9.6,0,1.93,3.91,0,0
 72-82,0,0,0,0,2.85,5.01,0,49.38,0,3.44,0.89,8.96,3.32,0,1.42,1.07,4.86,0.72,0,1.4,0,30.85,0,0.91,1.16,53.6,5.39,9.88,0.67,0,22.45,0,0,1.15,0,0,9.47,0,0,2.3,1.65,6
 84-94,0,0,2.4,0,11.01,0.66,0,22.67,0,1.15,0,0,0.58,0,1.06,6.3,2.9,0,0.66,3.29,5.25,35.83,2.16,2.76,0,24.43,11.8,3.11,1.54,0,47.88,0,0,5.94,1.3,0,12.74,3.4,0,12.01,4.24,0.74
 96-106,0,0,2.29,0,12.05,2.95,0.89,43.05,3.09,1.48,5.72,10.99,4.37,0,5.71,5.56,0.66,0.63,4.3,0.62,7.74,27.04,2.56,4.22,0,29.66,9.98,6.97,1.57,0,88.97,0,0,3.54,0.57,0,2.79,0,1.15,17.66,1.93,4.47
108-118,0,0,0.57,0,18.45,0,4.33,7.7,0,1.1,0,20.2,3.81,0,1.35,8.48,3.15,4.5,2.41,3.27,8.37,39.5,1.79,0.97,0,30.92,17.19,6.44,1.59,0,41.73,0,0,1.45,1.07,0,0.61,3.12,4.21,7.28,0,2.1
120,0,0,0,0,5.85,0,0,14.09,0,1,14.18,0,8.02,0,0,10.09,7.49,0,5.12,8.07,0,32.12,1.56,8.18,6.33,29.72,39.27,8.07,0,0,29.42,0,0,2.39,0,0,2.14,2.82,0,3.91,0,0
