stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,935.29,13859.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.34,0,0,0,0,0,0,0,0,0,0,0
  5-6,1918.28,25526.12,0,40.92,0,0,0,0,0,0,0,0,0,159.94,0,0,0,0,0,0,0,0,0,0,0,1279.77,80.21,0,0,348.71,0,1551.02,0,0,0,0,0,0,0,0,0,0,0
  7-9,974.26,816.97,0,1122.44,0,13.93,0,2436.56,0,0,0,0,0,1123.18,0,0,0,0,0,0,0,0,0,0,0,22206.06,1158.32,0,0,9355.92,0,352.54,83.16,0,9.82,0,0,0,0,0,0,0,0
 10-12,5.75,648.65,0,880.72,0,174.34,0,1558.37,0,0,0,0,0,446.79,0,0,0,0,0,0,0,0,0,0,3.87,13735.33,798.81,0,0,5319.54,0,147.75,52.59,8.38,680.94,0,63.27,29.12,0,0,0,0,0
 14-21,0,1.4,3.15,40.26,698.58,214.84,0,391.75,0,8.14,0,38.84,24.53,29.74,11.24,5.95,40.6,10.43,3.16,6.04,13.33,248.88,2.41,0,188.01,2733.18,164.11,9.21,42.03,168.02,0,581.11,6.21,530.42,40.6,13.49,714.52,708.91,0,0,35.81,0,16.89
 24-34,0,0,2.78,19.76,180.25,134.27,0,467.55,0,13.64,5.84,63.85,8.65,4.7,8.77,19.28,92.85,66,10.12,7.35,39.58,338.62,9.62,0,109.55,3210.97,44.3,146.98,53.63,0,0,330.6,0,0.71,16.53,4.62,87.99,498.45,0,0,97.83,0,44.44
 36-46,0,0,1.47,0.59,103.17,188.83,0,689.02,3.92,12.69,16.55,126.9,8.04,0.76,8.62,39.7,40.92,201.41,7.47,20.02,43.46,278.12,11.76,3.67,100.77,3218.71,24.95,197.95,32.28,0,0,396.13,0,2.44,10.29,0.81,3.71,508.32,0,0.85,44.85,0,49.91
 48-58,0,0,0,2.08,79.82,308.04,0,998.55,1.33,29.71,14.92,233.03,5.71,26.02,3.33,16.5,23.4,319.32,8.84,19.63,23.9,359.32,13,14.22,71.88,2591.13,24.93,73.02,25.05,0,0.56,313.54,0,0,4.64,0,0,423.55,0,1.89,34.04,0,65.64
 60-70,0,0,12.26,0,67.49,433.16,0,1723.15,1.49,33.73,27.95,277,13.42,19.09,3.85,36.18,20.14,747.29,1.61,4.65,5.7,480.42,14.98,24.94,66.45,2960.54,10.49,57.19,34.55,0,3.88,264.16,0,5.3,10.86,1.39,0,325.29,3.02,14.52,19.46,2.15,90.18
 72-82,0,0,3.38,0,77.08,852.13,2.96,1199.38,1.23,6.13,33.38,196.45,28.07,6.18,8.09,36.38,30.31,704.42,12.01,7.59,2.9,502.95,10.44,10.26,53.72,2164.63,4.84,118.96,18.77,0,6.55,209.46,0,0,3.94,0,0,199.93,5.37,14.75,42.23,9,53.77
 84-94,0,0,5.37,0,121.05,1070.58,3.45,1095.7,2.12,27.15,27.56,279.92,42.88,15.46,9.59,56.69,60.95,1073.37,9.45,15.42,31.81,473.04,19.81,27.05,48.5,1733.64,9.71,148.56,45.73,0,0,680.15,0,0,9.14,1.23,0,129.47,23.05,14.3,61.3,9.28,24.92
 96-106,0,0,5.24,2.83,136.08,889.59,3.61,788.21,3.22,13.73,20.88,199.34,54.82,0,17.32,47.44,43.91,702.37,16.36,9.91,7.82,345.61,23.61,8.15,40.81,1187.32,12.36,153.06,35.13,0,6.64,571.48,0,0,7.27,0.71,0,92.01,18.04,15.95,56.77,15.06,59.38
108-118,0.45,0,4.77,0.45,163.73,469.4,23.33,813.74,3.19,38.33,9.59,224.22,33.36,0,2.3,53.39,59.71,1165.27,15.06,13.4,10.95,411.5,33.27,26.33,60.05,1757.45,7.24,147.98,23.45,0,4.17,526.39,0,0,8.88,0.53,0,62.87,22.71,11.1,45.54,20.83,33.82
120,1.19,0,0,0,233.45,482.18,3.52,527.42,2.32,30.01,17.86,353.47,34.42,0,7.3,58.73,47.72,564.91,15.13,11.26,13.33,401.67,8.02,27.77,43.87,2114.52,15.56,171.59,50.98,0,0,373.94,0,0,7.29,1.32,0,85.95,13.26,5.27,90.79,17.72,20.38
