stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,82.45,1830.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.86,350.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,5.19,0,0,25.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.74,0,0,0,9.68,0,0,9.77,0,15.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.79,62.27,1.41,0,1.85,0,0,0,1.35,2.16,3.13,5.83,0.97,1.74,0,0,0,0,8.27,0,0,5.84,81.84,0,4.42,0.82,0,0,0,5.37,5.13,0.86,0,4.65,51.61,0,0,5.65,0,0
 24-34,0,0,0.8,3.08,42.75,0.95,0,18.16,0,0,0,5.65,3.22,1.14,5.65,5.06,4.9,0,3.2,0,0.62,31.91,1.36,0,20.37,490.41,0,15.77,1.49,0,0,59.46,0,0,1.34,0,1.42,151.55,0,0,25.85,0,0
 36-46,0,0,0,0,30.18,0,0,39.5,0,16.68,0,22.1,1.72,0,2.52,0,0,0,1.38,0,2.14,78.83,2.11,0,10.71,937.57,15.12,15.35,4.08,0,0,85.14,2.96,0,0.89,0,0,226.11,0,0.85,9.07,0,0.82
 48-58,0,0,0.42,0,29.34,0,0,130.88,0.86,17.05,1.55,33.27,0,4.85,1.28,4.81,0.37,0,0.91,0,0.56,54.06,2.38,0,9.58,931.88,1,5.89,0,0,0,71.05,0.56,0,0,0,0,275.88,0,0.89,10.61,0,0.48
 60-70,0,0,0,0,25.57,1.4,0,362.81,0.63,26.92,2.24,47.77,0,0,1.47,7.19,0,0,0.88,0,0,123.87,0.85,0.87,10.69,1492.07,0,12.35,5.93,0,0,90.52,0,0,0.62,0.67,0,315.62,0,3.13,15.65,0,2.08
 72-82,0,0,2.47,0.75,29.24,1.9,0,576.57,0,12.58,6.85,97.23,3.5,0.5,6.65,15,2.9,5.3,5.58,0.57,0,219.9,3.95,11.72,21.98,1552.39,3.83,17.93,6.42,0,3.74,46.52,2.22,0,0.97,0,0,289.82,1.33,4.09,23.99,0.96,12.03
 84-94,0,0,1.74,0,61.3,5.23,0,458.82,1.24,24,3.99,82.78,1.78,3.67,5.68,39.31,10.24,0.81,2.09,0,1.68,207.76,1.31,19.16,14.98,1164.64,0.56,11,6.75,0,3.87,179.13,0,0,5.68,0,0,264.61,4.3,4.27,29.81,4.66,1.57
 96-106,0,0,0.83,0,57.21,16.51,3.47,548.73,0,21.4,5.11,139.7,10.69,0,7.28,32.02,10.75,3.74,2.99,11.93,0.67,246.32,17.84,8.97,17.61,1050.93,3.76,13.35,2.12,0,1.6,134.29,0.64,0,0.7,0,0,91.33,2,3.78,21.02,11.07,7.63
108-118,0,0,1.74,0,109.86,1.52,0,564.55,0.73,32.13,17.04,150.82,11.04,0,3.03,31.75,7,3.88,7.29,2.03,2.94,340.8,2.68,12.08,11.69,1803.66,1.67,10.67,18.25,0,4.23,129.32,0,0,0.54,1.51,0,86.19,5.19,9.2,21.38,7.95,8.05
120,0,0,3.64,0,115.52,3.42,0,430.54,0,34.62,8.58,190.73,12.81,0,10.06,40.24,2.21,8.44,0,3.92,1.64,377.53,7.62,26,29.15,2150.96,3.99,32.5,2.4,0,25.17,143.57,0,0,6.93,0,0,63.26,0,24.78,45.34,4.69,32.21
