stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,2801.52,53608.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2186.44,0,0,0,0,0,0,0,0,0,0,0
  5-6,4833.91,61769.27,0,65.83,0,0,0,0,0,0,0,0,0,178.26,0,0,0,0,0,0,0,0,0,0,0,2105.65,222.22,0,0,450.04,0,1680.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,1082.84,1339.35,0,1808.56,0,0,0,4030.12,0,0,0,0,0,1465.34,0,0,0,0,0,0,0,0,0,0,0,35624.76,1514.83,0,0,10928,0,153.74,183.93,0,0,0,0,0,0,0,0,0,0
 10-12,24.16,1310.76,0,2039.3,0,96.55,0,3303.21,0,0,0,0,0,688.05,0,0,0,0,0,19.68,0,0,0,0,3.87,39560.75,1517.74,0,0,9550.07,0,67.47,105.27,19.1,1449.02,0,71.94,53.38,0,0,0,0,0
 14-21,4.58,6.71,44.69,429.51,10302.47,1671.51,0,3868.9,0,93.7,0,821.95,268.95,582.81,108.22,95.53,395.64,7.52,46.43,32.27,97.05,2118.55,61.19,0,1636.07,38982.24,1896.15,238.14,866.16,1061.62,0,1404.82,72.32,2796.72,668.65,951.02,5674.98,13225.19,0,0,349.29,0,101.65
 24-34,1.76,2.5,50.13,180.1,3300.26,417.68,0,4678.7,92.89,311.84,60.32,979.23,73.77,184.02,120.43,246.64,540.02,43.13,224.82,90.77,184.35,3028,178.72,12.94,1514.51,36337.82,470.25,622.61,517.37,1,3.96,2633.91,4.16,34.25,388.59,531.32,1422.43,9188.5,0,0,1290.88,0,272.23
 36-46,16.91,0,24.74,22.55,1579.01,72.66,0,6394.57,98.81,264.2,141.69,1510.01,50.92,20.23,88.83,378.72,269.22,80.89,149.65,122.87,124.37,3116.73,145.98,71.21,933.17,32279.6,282.84,457.18,300.61,0,1.98,2864.98,10.08,19.36,234.26,252.75,53.2,7748.68,0,1.89,722.73,0.78,276.96
 48-58,4.38,0,16.31,17.39,1463.08,80.95,0,10487.34,95.5,405.34,196.61,3060.97,86.4,71.17,98.7,329.92,162.41,158.99,159.39,149.76,128.55,4223.26,99.02,175.57,849.25,27481.61,245.68,285.92,319.35,7.33,13.74,2320.6,0.84,1.84,133.27,149.33,0.55,6162.01,0,19.87,501.49,1.8,362.53
 60-70,4.61,0,32.31,6.54,1206.62,83.69,2.24,14036.74,84.99,330.08,179.24,3097.17,179.16,61.84,98.93,302.17,157.26,160.98,111.63,116.77,109.87,4531.13,76.22,245.39,517.76,21343.36,168.25,231.45,211.07,0.81,30.11,1665.16,0,0,94.27,72.08,0,3309.13,29.95,78.72,438.81,45.87,387.77
 72-82,0,0,61.33,8.36,1165.97,214.81,25.8,14557.33,85.17,250.46,279.47,3611.54,359.84,17.7,113.13,385.19,246.34,159.58,159.92,173.28,62.32,5666.31,109.29,207.45,573.85,16734.21,86.51,345.46,292.32,1.13,48.36,1134.6,1.65,4.38,155.69,41.95,0,1766.28,98.31,161.23,632.1,152.27,358.26
 84-94,0,0,99.85,18.19,2089,214.31,67.53,11723.35,97.39,433.77,235.51,3385.32,741.64,24.95,87.94,445.53,398.16,178.85,223.57,434.49,124.04,5390.64,135.85,300.51,553.17,12096.2,108.95,433.4,405.05,0,52.54,3401.84,0,0,320.57,61.31,0,1438.44,295.05,206.81,697.63,235.95,256.22
 96-106,0,0,86,23.71,2066.69,432.46,49.2,10841,121.52,400.27,198.59,3775.55,767.19,1.06,131.26,550.56,419.83,182.35,298.7,477.37,87.69,4131.62,158.9,184.76,484.85,9982.44,88.99,668.58,430.23,0,81.66,2885.53,14.95,0,272.8,80.34,0,651.56,398.37,137.9,747.04,231.24,408.41
108-118,6.98,0,63.93,39.61,1810.81,349.38,34.9,9779.55,88.22,488.45,166.01,3896.49,726.91,0,82.13,470.26,335.93,273.36,246.18,558.59,59.38,4362.31,123.8,173.43,539.04,16600.58,102.95,537.46,432.01,0,105.75,2684.87,3.77,0,228.7,60.27,0,623.05,399.82,110.95,671.87,173.14,248.4
120,6.99,0,75.12,6.32,1219.92,401.34,15.65,7376.73,120.37,289.41,179.96,4089.24,427.09,0,89.71,683.81,173.79,149.66,128.15,270.8,7.99,3488.03,56.53,238.75,500.12,19220.38,163.8,359.19,384.05,0,93.45,1611.11,8.06,0,134.35,15.8,0,496.86,118.21,101.5,766.53,173.13,212.22
