stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.6,1148.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.27,528.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,18.04,0,10.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.72,26.98,0,16.23,0,0,0,47.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.26,7.13,0,0,106.02,0,4.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.37,0,19.88,0,14.23,0,62.19,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,578.26,23.18,0,0,111.03,0,0,11.75,0,3.38,0,7.74,0,0,0,0,0,0
 14-21,0,0,1.93,2.93,10.02,0.81,0,6.39,0,0,7.98,0,0,1.46,0,0.86,0,0,0,1.05,2.15,0,0,3.32,101.9,0.81,7.35,2.88,0.86,0,13.58,0,3.31,14.23,0,4.41,69.33,0,0,1.09,0,0
 24-34,0,0,2.92,0,4.63,0,0,19.57,1.45,0,7.54,0.91,0,0,0,0.72,0,0,0,0,6.76,0,0,3.35,270.21,0,41.66,5.93,0,0,9.2,0,0,3.77,0,0.82,78.14,0,0,0,0,0
 36-46,0,0,1.4,0,2.22,0,0,23.48,17.53,1.17,15.66,0,0,0,0,0.56,0,1.38,0,2.58,17.86,0,0,1.98,432.25,0,32.68,9.21,0,0,15.23,0,0,1.07,0,0,86.06,0,0,2.68,0,0.56
 48-58,0,0,0,0,4.3,0,0,98.16,4.11,1.22,53.26,0,0.49,0.49,0,0.49,0,1.67,9.13,2.14,31.33,0.42,1.34,3.87,736.04,2.77,23.55,6.31,0,0,14.36,0,0,0,0,0,103.25,0,0.51,0,0,7.02
 60-70,0,0,2.34,0,16.97,0,0,222.39,0,0,55.18,2.41,0,0,0.65,0,1.2,0,14.29,0,67.91,1.1,0,3.95,807.91,2.95,25.81,8.21,0,0,28.61,0,0,1.18,0,0,88.1,0,0.63,0,1.28,0
 72-82,0,0,2.07,0,5.92,2.4,0,423.71,3.48,2.12,98.94,1.79,0,0,0.68,3.28,1.62,4.14,0,1.89,108.44,0.53,5.27,5.06,914.14,0,46.25,16.82,0,0,19.97,0,0,1.54,0,0,68.84,0.53,3.25,11.73,5.23,11.97
 84-94,0,0,5.79,0,20.77,2.9,0,320.43,0.58,3.81,88.03,4.4,0,3.4,2.74,1.5,3.07,7.5,0.74,0.56,97.42,4.78,0.95,0,590.44,0,24.55,19.4,0,6.25,59.1,0,0,2.41,0,0,48.26,2.47,1.03,7.25,2.07,2.76
 96-106,0,0,3.33,0,12.56,5.01,1.37,338.81,3.4,5.46,64.1,8.78,0,3.76,1.56,5.07,0.57,7.72,3.39,0,64.88,2.73,2.34,6.93,575.33,4.22,71.54,34.2,0,0,34.81,0,0,0,0.64,0,25.31,0.98,4.94,8.62,4.41,6.69
108-118,0,0,0.79,0,21,7.16,0,265.15,0.6,7.68,73.16,12.11,0,0,1.3,3.3,13.3,1.2,6.88,4.43,93.33,0.94,0.46,3.99,625.42,0.59,27.42,34.39,0,7.52,49.19,0,0,0.84,0,0,21.37,2.24,2.51,12.9,3.89,9.25
120,0,0,0,1.28,45.29,0,0,232.36,10.74,0,135.32,4.2,0,2.63,1.43,3.84,8.81,14.03,0,15.43,90.94,0,3.62,1.86,781.84,11.22,97.6,51.39,0,11.51,22.27,0,0,6.26,0,0,31.95,0,7.08,2.75,2.01,4.83
