stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,66.87,1642.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.62,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.47,2755.4,0,6.55,0,0,0,0,0,0,0,0,27.18,0,0,0,0,0,0,0,0,0,0,0,96.03,0,0,0,18.35,0,52.7,0,0,0,0,0,0,0,0,0,0,0
  7-9,46.45,113.54,0,111.78,0,0,198.08,0,0,0,0,0,81.14,0,0,0,0,0,0,0,0,0,0,0,2030.46,92.15,0,0,764.96,0,0,20.02,0,12.83,0,0,0,0,0,0,0,0
 10-12,4.89,57.74,0,102.74,0,9.56,186.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842.59,47.22,0,0,612.84,0,0,0,0,95.34,0,0,3.51,0,0,0,0,0
 14-21,0,0,4.42,7.72,125.49,17.64,35.61,0,0.82,0,58.31,0,0,4.62,0,1.68,0,0,0,0,69.76,0,0,41.58,935.76,15.62,13.77,13.84,36.91,0,2.47,0,102,36.79,1.86,48.51,418.88,0,0,0,0,0
 24-34,0,0,0,1.36,26.5,1.72,83.63,0,4.53,4.8,44.75,0.66,0,0.67,0,0.74,0.7,3.87,2.05,0,125.23,0,0,50.01,1405.21,2.72,48.08,10.23,0,0,7.39,0,0,10.05,0,17.67,352.17,0,0,8.27,0,0.63
 36-46,0,0,0,0,18.75,1.74,231.26,5.27,9.96,4.03,67.72,0,0,0.93,0.64,5.76,0,0.99,0,0,130.38,0,1.42,26.4,1608.3,1.63,45.99,17.24,0,0,9.47,0.81,0,2.69,0,0,284.81,0,0,0.56,0,1.06
 48-58,0,0,0,0,11.11,0.44,524.24,0,4.82,11.57,104.34,1.77,0,1.05,0,0.55,7.78,1.45,0,0,165.57,0.71,2.69,23.6,1636.9,0.39,17.94,9.83,0,0,5.18,0,0,3.09,0,0,276.2,0,1.33,8.73,0,15.91
 60-70,0,0,0.62,0,13.46,0,664.11,0,0,4.02,71.03,0,0,0.9,0,0,6.5,2.47,0,0,137.97,0,3.81,10.33,1177.35,4.6,37.9,13.45,0,1.13,18.63,0,0,3.53,0,0,195.45,0,3.45,1.11,0,0
 72-82,0,0,1.55,0,8.91,1.96,571.02,0,0,3.16,83.08,7.97,0,3.29,0,1.17,0,2.68,0,0,163.35,0,5.25,18.66,962.23,1.23,52.97,8.47,0,3.65,2.77,0,0,0,8.92,0,108.68,0,7.69,9.97,3.39,0
 84-94,0,0,0,1.01,17.46,0,501.1,0,2.99,1.56,65.6,2.63,0,1.22,1.25,3.75,0,5.79,0,0,129.76,0,4.79,12.99,730.49,0,40.12,21.13,0,6.96,10.27,0,0,3.05,0,0,97.4,1.64,1.13,13.62,2.09,0
 96-106,0,0,0,0,9.59,11.94,300.19,0,0,2.11,52.2,8.77,0,1.99,0.77,0.85,1.5,7.42,0,0,105.53,0,6.01,12.73,511.57,0,60.54,13.54,0,4.53,4.01,0,0,0.7,0,0,30.53,0,0,3.94,1.87,0
108-118,3.95,0,3.88,0.61,15.29,0,351.63,0,1.09,4.23,40.45,1.76,0,0,0.42,1.33,0,5.65,0,0.52,112.01,0,8.33,14.25,682.29,0,39.44,14.87,0,2.53,4.46,0,0,2.53,0,0,45.68,2.3,0.57,2.86,1.86,0.92
120,0,0,0,0,9.56,5.21,250.98,0,2.16,1.49,41.7,0,0,2,0,1.63,0,0,0,0,41.78,0,13.09,7.69,685.14,0,67.01,26.96,0,0,2.55,0,0,5.14,0,0,20.09,0,2.71,0,0,0
