stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,15.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,9.28,0,0,38.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.18,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,24.08,0,0,191.26,0,0,8.7,4.43,17.9,0,20.13,0,0,0,0,0
 14-21,0,1.09,1.03,2.11,4.08,0,0.92,0,0,0,0,0,0,0,0,0,0,1.42,0,85.77,84.37,0,0,0,0,0,0,0,18.35,0.97,16.63,472.17,14.16,0,0,0,0
 24-34,0,1.33,0,0.8,0,0,1.35,0,0,0,0,0,0,0,0,0,0,41.18,0,50.76,223.15,0,2.8,0,0,0,0,0,0,0,0,7.13,46.73,0,0,8.71,0
 36-46,0,0,0,0.58,0,0,32.78,0,0.57,0,0,0,0,0,0,0,0,48.34,0,23.94,353.21,0,1.86,0,0,0,2.71,0,0,0,0,0,120.22,0,1.04,11.17,0
 48-58,0,0.4,0,5.89,0,0,52.87,0,0,4.27,0,0,0,0,0,0,0,40.25,4.92,16.73,793.63,0,0,0.68,0,0,0,0,0,6.13,0,0,116.6,0,0,3.03,0
 60-70,0,0,0,3.92,0,0,146.7,1.1,0,9.02,0.63,0,0,0,0,0,0,59.8,0,11.19,1094.21,0,0,0,0,0,5.44,0,0,3.95,0,0,130.78,0,0,24.66,0
 72-82,0,5.22,0,1.27,0,0.78,154.77,0,0,10.63,0,0,1.02,0,0,0,0,147.29,8.66,11.31,1430.41,0,1.9,0.69,0,0.8,0,0,0,2.39,0,0,123.46,0,0,73.12,0
 84-94,0,7.59,0,2.61,0,4.34,141.89,0.66,0.77,10.94,1.49,0,0,0,0,0,0,90.4,2.23,1.94,850.08,0,0.95,1.16,0,0,8.56,0,0,7.25,0,0,50.06,0,2.15,59.96,0
 96-106,0,2.08,0,3.54,9.95,0,82.79,0,0,20.17,0.85,0,2.26,0,0.9,0,10.44,119.74,0.88,7.81,887.45,1.48,0.74,2.89,0,1.6,6.72,0,0,3.67,0,0,44.88,0,1.08,141.73,0
108-118,0,1.65,0,8.96,1.35,19.13,60.02,1.07,3.56,50.05,1.47,0,0.78,0.42,0,1.37,0,114.67,0,1.61,740.93,0,1,2.45,0,0,0,0,0,3.68,0,0,23,0.89,0,139.75,0.7
120,0,4.34,0,8.28,0,0,93.09,0,5.18,35.99,17.72,5.2,0,15.82,0,0,3.71,64.15,0,6.48,1119.29,0,2.28,0,0,0,0,0,0,4.81,0,0,60.27,0,0,67.98,0
