stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,382.27,5417.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.72,0,0,0,0,0,0,0,0,0
  5-6,409.01,6261.17,0,34.56,0,0,0,0,0,0,0,0,0,31.11,0,0,0,0,0,0,0,0,0,0,0,197.94,6.07,0,0,35.47,195.28,0,0,0,0,0,0,0,0,0
  7-9,63.45,38.01,0,53.61,0,0,0,162,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,1529.57,32.19,0,0,310.15,0,36.76,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,20.64,0,10.61,0,24.75,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,262.74,27.22,0,0,65.97,0,10.34,0,12.05,0,0,0,0,0,0
 14-21,0,0,0,1.32,5.17,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.36,18.31,4.05,0,0,0,0,1.12,2.66,0,1.77,10.24,0,0,0,0
 24-34,0,0,0,0,2.08,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0.79,29.77,0,5,0.64,0,0,0,0,0,0,15.4,0,4.62,0,0
 36-46,0,0,0,0,0,0,0,5.35,0,0,0,3.4,0,0,0,0,0,0,0,0,3.1,4.97,0,0,0.88,33.48,0,8.71,0,0,2.26,0.81,0,0,0,17.35,0,0,0,0.67
 48-58,0,0,0,0,0.49,0,0,7.33,0,0,0,3.12,0,0.37,0,0,0.52,0,0.48,0,1.1,11.27,0,0.4,1.76,30.87,0,8.74,0,0,0.47,0,0,0,0,13.33,0,1.86,0,0
 60-70,0,0,0.89,0,0,2.33,0,21.35,0,1.12,0,9.71,0,0,0,0,0,0,0,0,0,7.64,0,1.71,0,53.33,0,8.32,0,0,1.97,0,0,0,0,3.47,1.33,1.35,0.85,0
 72-82,0,0,0,0,1.09,1.33,0,5.84,2.4,0,0,11.29,0,0,0,1.18,0.75,0,0.56,0,0,25.59,1.38,0,0,38.27,0,18.52,0.49,0,4.38,0,0,0,0,10.37,0,1.66,0,1.32
 84-94,0,0,0,1,4.36,6.69,0,11.55,0,1.52,0,1.73,2,0,2.78,7.99,0.62,0,0.71,0,0,9.26,1.99,0,0.78,47.2,0,15.49,0,0,26.03,0,0,0.73,0,1.36,0.71,3.22,0.74,1.05
 96-106,0,0,1.1,0,7.14,14.59,0,18.71,0,2.22,0,9.34,4.76,0,0,4.5,1.23,0,0,2.12,0,5.96,2.38,1.74,0,10.6,0,17.95,3.11,0,29.84,0,0,0,0,0,0,0.92,0,0
108-118,0,0,1.22,0,4.92,1.73,0,17.15,0,0.49,0.96,10.53,3.2,0,0,2,2.03,0.43,1.94,0,0,10.02,3.28,5.07,0,23.84,0,7.4,1.09,0,25.01,0,0,0,0,0,0,7.54,1.94,2.86
120,0,0,0,0,2.97,15.24,1.6,16.6,2.1,0,0,10.43,4.36,0,0,2.31,7.33,0,0,3.44,1.61,16.67,0,6.81,9.29,34.05,0,8.14,0,0,21.54,0,0,2.78,0,0,0,0,0,0
