stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.93,739.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.71,0,0,0,0,0,0,0,0,0
  5-6,44.28,723.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.53,0,12.8,0,0,0,30.6,0,0,0,0,0,23.42,0,0,0,0,0,0,0,0,0,0,0,203.27,13.83,0,0,45.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.02,0,0,0,22.95,0,0,0,0,0,27.22,0,0,0,0,0,0,0,0,0,0,0,278.52,0,0,0,82.05,0,6.03,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,6.6,13.81,2.84,0,1.13,0,0,0,0,1.62,0,0,0,0.96,0,0,0,0,4.72,0,0,0.95,57.94,3.49,7.14,1.04,0,4.71,1.12,1.27,0,34.87,0,0,2.93,0,0
 24-34,0,0,0,2.71,9,3.78,0,10.53,0,0,0,3.81,4.9,0,1.22,0,0.79,0,0,0.9,0.8,4.93,0,0,3.55,395.23,11.64,11.74,2.49,0,9.56,0,24.88,0,122.27,0,0,27.43,0,26.51
 36-46,0,0,0,0.56,4.06,0,0,43.18,0,11.67,0,4.56,1.29,1.6,1.87,0,0,0,0,1.55,3.56,6.1,0,0.86,0.65,1205.64,7,11.65,0,0,13.64,0,44.36,0,202.28,0,0,45.16,0,80.47
 48-58,0,1.29,0,0,12.95,0,0,208.1,1.44,1.49,1.18,16.39,2.32,0.37,1.25,0,4.26,11.88,0.38,7.56,10.26,12.84,1.46,0,0.48,2011.87,27.29,12.61,1.22,0,6.75,0,21.33,0,330.57,0,0,76.93,0,79.42
 60-70,0,0,0,0,21.07,0,0,406.82,1.08,0,0,37.58,10.46,0,1.17,0,0,1.16,1.41,1.32,12.74,27.29,2.63,0,2.69,2446.4,11.39,6.01,1.98,0,2.33,0,12.38,1.33,356.05,0.73,0.71,38.5,0,85.05
 72-82,0,0,0.61,0,10.55,6.73,0,486.43,0,0,1.79,46.77,12.42,1.03,5.43,0,0.75,1.15,6.28,1.19,1.23,52.03,0.77,9.54,1.23,2141.93,6.13,11.63,9.78,0,4.24,0,12.67,0,278.55,5.96,0,112.55,2.61,60.87
 84-94,0,0,0,0,12.92,9.32,3.57,440.84,0,0.57,0,36.84,31.71,1.95,1.81,2.83,1.57,3.19,12.56,13.07,12.8,52.48,5.25,2.6,1.79,1351.53,19.13,38.33,24.81,0,8.51,0,31.57,0,117.78,6.21,1.74,117.86,3.36,98.62
 96-106,0,0,0.63,0,12.3,15.27,1.49,394.72,0,0,1.1,44.75,22.2,0,6.94,1.99,0,1.47,5.9,29.36,0,78.3,0,2.04,8.92,1188.29,2.34,54.44,20.34,0,12.94,0,15.48,0,72.14,8.83,0,108.16,0.8,52.04
108-118,0,0,1.91,0.57,12.88,2.46,21.54,404.17,0,0,0,31.04,30.77,0,3.04,0.63,0.45,10.97,7.46,7.86,3.89,42.3,0,2.74,5.74,1165.83,6.72,37.71,16.47,0,3.57,0,21.29,0,93.95,8.82,0,71.73,0,52.77
120,0,0,0,1.66,39.75,2.71,0,351.93,0,0,1.58,50.98,49.24,0,9.37,6.55,1.65,10.64,0,7.38,0,54.41,0,11.56,4.24,2390.6,12.42,34.83,36.59,0,0,0,31.94,0,128.96,1.84,0,116.69,0,34.2
