stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,309.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.76,79.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,0,0,0,11.78,19.21,0,0,0,0,0,0,0,0
 10-12,0,14.71,0,4.73,0,0,0,15.54,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,225.36,0,0,0,17.64,11.85,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.81,78.63,2.4,0,0,0,8.37,0,4.66,24.66,0,0,20.54,0,0,0,2.96,2.21,0,0,32.43,0,2.46,16.32,1.85,116.63,3.55,8.31,9.11,1.29,0,0,1.21,0
 24-34,0,0,4.26,2.45,31.94,0.66,0,0,0,1.94,0,4.65,1.15,0,4.14,27.8,2.62,0,0.8,1.61,7.11,0,0.61,68.13,0,19.7,13.43,0,147.46,0,4.88,0,0.88,0,0,3.57,0
 36-46,0,0,0,0,22.38,0,0,0,0,5.97,0,2.59,2.99,0,6.06,8.54,7.67,0.58,5.93,2.31,3.99,0,0,78.56,0,15.51,13.1,0,223.23,0,2.22,0,2.52,0,0,1.74,0
 48-58,0,0,0.42,0,18.47,0,0,6.84,0,0.75,0.9,0.81,14.32,0,3.23,4.21,1.16,7.02,0,5.78,6.77,0,0,29.67,0,3.55,9.01,0,145.26,0,1.25,0,6.49,0,0,3.06,0
 60-70,0,0,0.65,0,10.25,0,0,35.83,1.33,9.9,0,4.54,5.6,0,10.42,9.31,3.81,0,0,1.07,10.14,0,0,19.02,0,8.84,9.68,0,133.93,0,1.39,0,0,1.22,0,5.02,0
 72-82,0,0,1.99,0,19.27,1.78,0,81.72,0.79,2.7,5.27,7.78,3.2,0,16.2,11.97,5.74,0,0,7.81,2.76,0,0.64,45.59,0.53,19.05,10.39,0,85.91,0,5.14,0,2.26,6.93,1.35,10.72,0.54
 84-94,0,0,1.64,0,34.8,0,0,46,0,12.96,6.81,13.46,4.38,0,11.88,21.13,2.74,3.95,0,8.49,10.45,0,0.79,22.44,0,11.3,15.9,0,272.58,0,1.87,0,0.67,10.9,2.16,6.04,1.2
 96-106,0,0,3.51,0,38.52,13.11,0,57.9,0,10.46,12.54,24.15,2.38,1.61,10.32,29.48,16.5,3.86,0,3.96,11.99,2.65,2.01,65.4,0,3.26,22.27,0,206.8,2.06,2.57,8.13,0,9.46,0,12.78,6.79
108-118,0,0,0.92,0,30.18,1.07,0.44,44.75,0,12.89,19.89,27.98,0,0,14.42,19.96,8.97,2.76,1.27,0.61,15.33,0,0,29.78,0,13.79,22.2,0,160.68,0,5.19,0,0,11.29,0,4.19,7.59
120,0,0,0,0,72.45,0,0,49.35,1.72,16.66,5.95,61.61,0,0,18.82,10.81,17.13,7.86,0,0,17.51,0,2.92,22.37,0,9.64,26.37,0,159.99,0,0,0,0,7.47,0,17.25,10.12
