stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.29,561.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.05,600.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.94,0,0,0,7.9,0,8.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,69.55,36.82,0,69.67,0,5.98,0,140.05,0,0,0,0,0,51.06,0,0,0,0,0,0,0,0,0,0,0,1242.2,92.92,0,0,475.92,0,3.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,125.72,0,115.34,0,49.81,0,224.98,0,0,0,0,0,133.53,0,0,0,0,0,0,0,0,0,0,0,3251.36,75.1,0,0,1056.45,0,0,0,0,125.02,0,14.02,10.18,0,0,0,0,0
 14-21,0,0,0,7.7,142.02,91.93,0,94.29,0,1.16,0,19.03,9.37,9.14,1.23,0.92,23.47,0,0,0,5.11,65.78,2.14,0,66.31,929.1,15.38,13.67,15.94,22.06,0,15.26,2.01,166.07,27.82,35.3,275.43,312.4,0,0,6.2,0,0.84
 24-34,0,0,1.45,3.8,33.14,18.18,0,200.14,0.96,4.97,1.5,37.55,4.39,0.66,6.67,5.71,31.47,0.92,0.61,9.54,11.58,146.25,0,0,52.97,1877.93,11.81,23.28,17.98,0,0,30.43,0,0,18.88,13.71,71.06,362,0,0,49.66,0,32.41
 36-46,1.07,0,0,0,23.78,2.98,0,396.81,5.68,3.44,2.98,55.2,0,0,4.67,2.86,5.01,4.5,1.54,3.11,16.85,111.2,0,0.56,27.23,1870.37,0.59,14.01,25.74,0,0,39,0,3.95,3.5,35.33,0.8,382.72,0,0.85,27.64,0,12.22
 48-58,0,0,0.54,0.45,34.03,5.1,0,861.13,7.73,13.84,8.16,114.88,3.53,3.95,1.01,6.87,8.29,30.69,2.6,7.79,10.33,169.71,1.37,13,38.27,1914.05,1.41,12.61,8.38,0,0,37.85,0,0,4.27,28.79,0,322.23,0,0,6.84,0,17.4
 60-70,2.52,0,0.86,0,23.96,6.06,0,1492.31,4.32,9.17,6.11,103.42,11.95,0,0,22.99,5.52,8.65,1.66,19.05,0,165.28,0,11.93,30.61,1558.34,0.75,22.28,6.95,1.62,0,35.74,0,0,5.06,8.65,0,198.17,0,3.85,12.24,0,13.35
 72-82,0,0,4.2,0,28.53,14.7,1.04,1069.89,5.17,2.72,12.44,92.26,19.47,0.5,4.91,18.2,9.49,0,3.98,19.75,2.38,175.27,3.66,9.33,27.41,1136.89,1.46,9.98,13.65,0,2.97,10.51,0,0,9.41,4.95,0,109.5,4.02,3.11,26.84,7.25,22.1
 84-94,0,0,2.11,0,35.66,13.24,2.63,861.11,5.45,2.13,10.1,76.6,24.05,0,1.5,17.96,11.07,11.74,2.63,24.55,1.97,189.91,6.25,13.9,34.59,820.59,0.74,9.42,10.92,0,3.33,50.87,0,0,20.2,7.45,0,127.01,4.6,4.64,18.25,3.81,2.34
 96-106,0,0,3.22,0,45.14,48.22,2.1,635.94,5.39,2.46,2.96,78.41,19.67,1.06,0,17.22,19.26,11.74,10.54,14.83,2.7,125.69,9.95,8.2,31,627.87,9.21,13.76,23.11,0,5.85,71.2,0,0,3.56,11.05,0,39.34,3.88,2.5,31.99,6.43,4.33
108-118,0,0,4.74,0,42.71,16.12,1.69,606.03,4.54,5.56,5.88,112.77,16.03,0,4.9,25.52,17.96,7.96,5.33,39.39,2.74,166.54,15.92,3.66,29.29,1005.24,1.24,11.32,12.84,0,4.67,35.11,0,0,11.17,8.13,0,29.44,0,1.77,18.52,6.12,2.99
120,0,0,0,0,73.3,35.83,0,410.42,3.91,12.39,11.52,83.8,32.66,0,2.71,50.29,11.46,4.88,14.08,13.95,1.51,73.08,1.49,5.22,33.73,1062.39,2.43,19.25,17.99,0,0,30.66,0,0,3.71,1.21,0,27.01,0,4.63,10.03,1.05,0
