stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.63,0,0,0,4.97,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,120.97,0,0,0,0.94,0,0
 24-34,0,5.12,0,8.04,1.11,0,0,2.53,0,0,5.2,2.58,0,0,3.07,7.08,0,4.21,87.76,6.11,1.76,0,0,0,2149.27,0,0.93,1.13,5.02,2.01,0
 36-46,0,0,0,3.13,0,0.79,0.73,0,0,0,0,0,0,0,7.37,15.07,0,1.63,55.54,1,0.72,1.43,0,0,2552.72,0,0,0,10,0,0
 48-58,0,0,0.41,18.51,0.43,0,7.14,0,0.7,0,1.69,0.53,0,13.37,7.98,11.96,0,0,42.48,0,0.48,0,0,0,1218.95,0,0,0,5.95,7.71,1.04
 60-70,0,0,0,14.77,0,0,1.62,0,4.08,0.75,0,2.06,0,0,16.42,13.74,0,0,24.43,0,0,0,0,0,1048.27,0,0,0,2.59,0,0
 72-82,0,1.97,0,14.88,0,1.31,2.31,0,0,0,0,0,2.85,0,3.5,17.81,1.19,0.53,28.31,0,0.74,0,0,1.4,792.38,0,0,0,2.03,2.66,0
 84-94,0,0.95,0,2.86,7.04,0,2.1,2.55,0.71,0,0,9.78,1.95,0,2.78,16.07,0,0.77,23.14,0,0.6,0,0,0,2207.04,0,0,0,7.27,0,0
 96-106,0,20.76,2.96,19.06,2.63,0,0,0,0,0,0.58,1.67,4.77,0,4.28,29.84,0,0,25.87,0,1.44,0,0,0,1734.21,0,0,0,0,0,0
108-118,0,6.48,1.98,7.6,3.35,0,4.23,0,0,0,0,4.84,3.72,0,0.72,27.41,0,0.77,20.43,0,0.94,0,0,0,1163.45,1.48,0,0,0,0,0
120,0,4.1,0,6.63,1.09,0,0,0,0,0,0,0,5.32,0,13.45,2.93,0,0,23.84,0,2.59,0,0,0,918.71,0,0,0,0,0,0
