stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,410.82,8233.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.34,0,0,0,0,0,0,0,0,0,0,0
  5-6,1072.53,17095.08,0,70.39,0,0,0,0,0,0,0,0,0,59.16,0,0,0,0,0,0,0,0,0,0,0,594.71,54.33,0,0,154.07,0,255.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,427.62,666.63,0,670.47,0,17.95,0,2860.09,0,0,0,0,0,525.02,0,0,0,0,0,0,0,0,0,0,0,18679.9,649.23,0,0,5891.46,0,14.66,66.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,983.09,0,985.21,0,131.3,0,2607.73,0,0,0,0,0,486.5,0,0,0,0,0,11.2,0,0,0,0,15.5,23514.98,760.09,0,0,7486.91,0,15.43,64.05,82.88,1055.26,0,71.28,43.7,0,0,0,0,0
 14-21,3.54,8.08,4.17,172.16,2963.57,1476.33,0,3421.43,0,7.88,0,158.67,58.61,192.31,17.07,36.64,37.93,4.38,12.94,17.61,87.09,1230.27,5.77,0,1093.4,18573.43,570.6,43.27,247.1,468.62,0,182.21,23.48,3033.26,106.35,160.32,5850.01,4081.67,0,0,46.97,0,71.93
 24-34,0.88,0,9.71,81.35,983.88,488.65,0,3800.74,56.76,36.95,33.42,247.26,62.63,11.72,20.17,49.02,57.25,74.97,66.81,57.51,149.3,1770.29,24.87,4.91,649.4,13609.39,188.35,122.33,181.53,1,0.99,370.7,3.76,32.77,12.59,44.09,1224.92,2419.17,0,0,210.99,0,149.09
 36-46,0,0,8.62,9.64,416.99,19.24,0,2775.76,61.11,60.16,66.78,364.73,42.82,1.09,13.53,66.69,10.53,85.3,35.37,63.15,62.62,1077.67,15.85,45.29,373.85,9137.46,69.73,65.58,118.67,0,0.97,294.79,9.01,7.91,14.73,13.76,33.45,1745.05,0,1.37,118.93,0,66.13
 48-58,0.94,0,1.03,8.54,308.14,18.79,0,3040.82,25.36,44.39,81.28,638.62,59.81,3.65,13.55,72.39,10.13,55.07,33.78,43.19,22.09,1272.41,10.83,47.78,415.63,7143,43.64,47.6,82.4,0,3.91,185.16,0.84,1.84,6.92,10.17,0.55,1245.3,0,5.02,131.96,2.06,115.54
 60-70,0.64,0,6.73,0,248.44,40.29,2.76,3356.63,53.27,47.39,74.69,552.72,95.45,0.98,26.22,63.67,20.32,68.68,24.91,75.47,20.45,1505.63,11.09,79.35,270.48,6468.15,24.47,31.14,76.07,0,4.65,216.88,2.77,1.38,15.52,5.04,0,695.87,4.36,30.73,118.44,4.35,68.86
 72-82,0,0,17.95,0,250.45,120.81,43.26,2398.96,23.87,21.26,82.72,610.86,142.64,0.6,23.3,105.18,46.75,39.85,34.59,51.85,10.91,1351.24,21.32,68.15,303.73,4525.85,19.84,36.87,85.5,0,11.92,293.76,0.56,0,15.17,1.33,0,340.78,18.11,26.6,143.99,27.3,64.13
 84-94,0,0,6.99,2.49,376.24,167.75,92.68,1757.71,18.09,44.39,69.49,396.83,195.92,1.23,10.13,111.04,73.58,37.35,31.14,119.12,29.69,1140.59,26.07,58.08,286.49,2691.85,24.73,57.86,63.87,3.85,9.73,844.75,0,0,20.77,4.74,0,178.85,32.08,46.95,158.61,25.05,26.73
 96-106,2.25,0,11.34,2.79,566.59,241.47,129.56,1487.24,24.39,45.48,55.8,413.32,158.66,0,23.86,166.01,42.9,43.66,32.25,81.29,4.19,884.14,37.13,29.3,285.18,2111.8,18.64,76.63,54.7,0,22,1039.36,5.34,0,16.91,0.68,0,102.53,20.63,15.34,174.52,29.46,57.2
108-118,0,0,8.64,3.88,894.43,259.07,254.44,1386.11,16.31,100.15,56.84,512.85,134.84,0,13.43,140.29,44.51,33.38,37.73,123.05,24.49,1046.15,30.07,43.33,299.7,3199.9,22.41,64.55,80.54,0,24.32,1029.3,2.91,0,17.04,4.49,0,74.7,23.76,22.46,186.42,27.31,63.03
120,1.19,0,2.96,1.27,1108.31,258.06,91.52,1130.71,24.57,117.55,89.52,628.15,86.28,0,29.57,182.06,36.6,14.75,32.62,138.74,5.46,1087.15,41.26,78.39,350.31,4457,36.7,43.62,51.47,0,55.31,878.59,1.53,0,23.77,0,0,93.96,19.9,35.51,203.78,28.41,20.97
