stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.15,728.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.99,1547.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,8.9,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.98,22.27,0,20.78,0,0,0,65.22,0,0,0,0,0,39.76,0,0,0,0,0,0,0,0,0,0,0,499.74,64.79,0,0,178.6,0,0,12.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.57,0,57.07,0,4.95,0,81.65,0,0,0,0,0,72.77,0,0,0,0,0,0,0,0,0,0,0,1066.17,87.39,0,0,485.4,0,3.1,11.5,14.3,52.07,0,55.66,9.81,0,0,0,0,0
 14-21,0,0,6.1,24.16,187.8,65.17,0,107.56,0,8.76,0,24.33,15.22,90.74,4.25,23.6,18.63,0.87,0,158.77,34.62,89.88,1.89,0,67.06,663.14,183.96,2.28,21.98,40.16,0,3.75,11.84,257.54,54.12,653.9,2041.17,242.37,0,0,221.26,0,9.66
 24-34,0.88,0,7.83,14.75,91.71,10.93,0,104.76,0,27.36,5.35,33.9,10.21,43.36,10.55,77.61,61.67,6.62,6.17,93.57,37.53,116.45,22.8,0.82,90.85,758.62,23.21,33.87,8.49,0,3.82,15.4,0,4.92,123.55,20.41,241.25,275.95,0,0,1042.05,0,39.33
 36-46,0,0,0.98,0.72,24.73,8.68,0,150.82,0,9.5,13.13,76.72,4.73,5.15,5.2,204.84,28.94,5.82,5.43,23.11,21.43,126.45,17.99,0.57,55.55,594.05,15.86,19.27,6.58,0,0,42.21,2.11,0,77.68,0.58,0.71,217.83,0,1.23,413,0,6.14
 48-58,0,0,0,0,17.19,3.65,0,191.71,0,4.59,25.83,133.15,1.62,45.52,10.78,93.14,6.76,17.78,4.01,33.75,12.56,186.12,25.9,4.85,28.88,460.79,4.46,8.08,14.94,0,0.56,19.74,0,0,40.47,0,0,180.62,0,1.53,290.77,0,18.81
 60-70,0,0,0,0,19.23,6.63,0,317.96,0,17.06,12.05,153.21,10.6,23.6,14.36,249.13,9.93,18.6,11.34,7.71,4.41,247.23,16.02,9.12,21.45,480.15,2.7,3.29,4.91,0,2.06,30.89,0.64,0,71.96,0,0,122.29,0,6.42,216.7,0.89,20.59
 72-82,0,0,7.84,0,30.89,48.88,0,407.91,0.76,5.78,25.85,296.75,30.91,9.73,17.18,209.93,11.48,2.59,15.06,39.56,6.66,478.71,61.88,7.59,34.01,589.01,1.71,11.71,24.63,0,1.62,36.33,0,0,107.4,0,0,138.73,3.08,8.49,353.28,11.7,26.48
 84-94,0,0,7.96,0,54.4,42.98,2.35,357.09,0,10.8,10.03,200.85,49.06,16.74,13.49,356.83,20.3,12.16,7.2,22.12,4.62,401.06,29.08,20.52,38.74,488.82,1.99,9.84,25.87,0,2.34,106.96,0,0,176.65,0,0,156.4,3.2,25.08,437.5,21.73,24.58
 96-106,2.68,0,9.1,0,68.91,54.71,4.85,419.03,12.25,20.32,24.82,309.14,61.86,0,10.36,326.05,28.89,11.48,13.52,40.77,2.65,424.8,63.76,15.63,35.7,482.08,11.38,12.43,46.19,0,16.26,161.45,0,0,188.55,0,0,87.4,5.05,13.1,376.71,20.68,23.7
108-118,0,0,7.18,0.95,99.96,40.32,5.4,357,1.84,38.01,22.38,335.77,72.83,2.74,5.95,309.23,43.74,30.33,11.96,46.87,14.94,420.31,80.02,25.76,27.8,871.64,6.27,6.98,35.54,0,12.18,150.39,0,0,128.22,0,0,71.4,4.03,13.21,375.1,9.95,34.09
120,1.12,0,3.9,0,94.06,41.25,4.24,279.68,2.05,10.2,25.6,222.36,56.88,0,13.62,286.19,14.29,28.91,5.92,24.68,2.97,239.71,32.26,4.03,8.92,504.5,1.08,14.18,49.58,0,17.64,96.74,0,0,53.76,0,0,21.54,4.17,6.88,220.6,9.5,4.83
