stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.47,969.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,0,0,0,0,0,0,0,0,0,0,0
  5-6,99.2,2737.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.25,9.37,0,0,18.08,0,40.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,122.91,196.31,0,160.01,0,0,0,340.96,0,0,0,0,0,132.67,0,0,0,0,0,0,0,0,0,0,0,3261.19,95.19,0,0,1180.92,0,0,4.57,0,13.28,0,0,0,0,0,0,0,0
 10-12,0,98.1,0,215.77,0,16.22,0,352.76,0,0,0,0,0,76.27,0,0,0,0,0,0,0,0,0,0,0,3281.41,141.46,0,0,1285.89,0,0,0,4.36,66.23,0,20.18,5.09,0,0,0,0,0
 14-21,0,0,1.24,8.08,110.71,37.09,0,73.57,0,0.82,0,19.96,7.21,2.78,0,3.42,6.01,0.87,0,3.28,3.41,74.04,0,0,54.57,734.65,13.07,4.72,10.7,17.97,0,5.61,0,144.23,7.56,5.02,139.02,254.06,0,0,3.26,0,0
 24-34,0,0,3.22,1.83,26.22,4.98,0,107.88,0,0.8,5.18,25.73,4.34,0,0,2.58,6.94,0.82,2.32,4.39,10.59,92.51,1.82,1.63,39.06,1150.4,5.39,27.16,12.12,0,0.99,12.81,0,0,2.53,1.31,18.9,261.94,0,0,12.51,0,16.29
 36-46,0,0,0,0,20.57,0.56,0,134.64,0,1.84,4.44,54.74,0,0,0,0,0,1.49,4.11,1.33,2.99,106.36,0.68,1.93,30.35,1106.18,8.5,13.41,4.64,0,0,13.01,0,2.14,2.7,0,0,294.73,0,0,10.6,0,7.4
 48-58,0,0,0.92,0,10.38,0.94,0,263.28,0,11.85,16.35,58.51,3.1,0,2.9,2.06,0.52,0.4,2.94,0,8.71,130.54,0.7,1.43,20.01,805.78,12.21,16.88,9.55,0,0,4.04,0,0,0.47,1.45,0,186.79,0,0,10.03,0,3.38
 60-70,0,0,0.86,0,8.41,1.23,0,375.18,0.6,1.68,11.16,83.04,4.11,3.35,1.45,2.9,2.1,19.4,2.61,2.19,0,170.71,0,3.85,13.15,855.3,8.83,8.39,2.43,0,0,32.3,0,0,0,0.65,0,172.32,2.51,0,8.43,0,18.96
 72-82,0,0,1.22,0,15.64,40.54,0,378.36,0.59,0.51,31.51,95.59,5.08,0,6.89,9.61,0,1.32,5.14,1.42,0,285.47,3.93,1.23,33.74,768.11,0.5,8.34,12.71,0,0.89,20.81,0,0,1.02,0.53,0,138.14,7.05,2.65,18.23,3.92,20.01
 84-94,0,0,1.9,0,38.41,78.42,0.95,310.36,0.57,2.02,14.35,108.02,9.72,0.71,5.79,12.09,3.46,3.5,4.06,5.32,1.77,276.54,0.76,16.48,33.66,582.71,1.6,13.52,6.33,0,7.56,71.78,0,0,1.93,0.62,0,101.44,6.38,4.17,19.32,3.04,19.3
 96-106,0,0,2.29,0,30.37,41.38,0.63,230.37,3.22,4.23,6.35,102.22,7.21,0,5.21,9.42,2.7,10.19,6.57,1.68,0,250.91,13.48,9.4,26.64,518.61,0.75,16.86,31.73,0,6.22,42.59,0,0,3.96,0,0,55.42,3.92,3.3,17.81,6.94,19.42
108-118,0,0,0.61,0.61,52.63,22.92,4.97,259.24,10.12,6.33,16.37,145.28,3.93,0,3.64,4.45,5.08,7.56,6.12,8.85,4.57,242.9,3.74,14.08,34.66,638.27,6.5,12.28,21.88,0,2.37,39.26,0,0,3.96,0.44,0,34.18,7.09,1.05,26.99,2.69,11.7
120,0,0,7.45,0,71.27,26.7,0,181.31,0,6.74,7.89,190.12,15.94,0,1.85,12.69,1.06,0,2.19,4.74,0,412.06,7.09,2.61,50.52,914.45,8.83,14.72,12.51,0,2.76,75.07,0,0,5.66,0,0,68.26,2.25,3.84,40.62,8.42,2.85
